Date,Target,US_Interest_Rate_10Y__diff1,US_Interest_Rate_3Y__diff1,KR_Interest_Rate_10Y__diff1,KR_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,KR_Spread_10Y_3Y__diff1
2023-05-02,1,,,,,,
2023-05-03,0,-0.06000000000000005,-0.0899999999999998,-0.048,-0.0539999999999998,0.03,0.0060000429999999
2023-05-04,0,-0.009999999999999787,-0.1099999999999998,-0.0459999999999998,-0.0710000000000001,0.1,0.025000097
2023-05-08,1,0.1499999999999999,0.2299999999999999,0.032,0.0510000000000001,-0.0799999999999999,-0.019000055
2023-05-09,0,0.009999999999999787,-0.0300000000000002,0.008,-0.0050000000000003,0.0399999999999999,0.0130000109999999
2023-05-10,0,-0.09999999999999964,-0.1200000000000001,0.0230000000000001,0.0170000000000003,0.02,0.006000044
2023-05-11,0,-0.040000000000000036,0.0100000000000002,-0.0490000000000003,-0.0529999999999999,-0.05,0.00399995
2023-05-12,0,0.06999999999999984,0.0899999999999998,-0.0179999999999997,0.0049999999999998,-0.0199999999999999,-0.023000005
2023-05-15,1,0.040000000000000036,0.02,0.0579999999999998,0.0539999999999998,0.0199999999999999,0.0039999479999999
2023-05-16,1,0.040000000000000036,0.0700000000000002,-0.0289999999999999,-0.0369999999999999,-0.03,0.0079998969999999
2023-05-17,1,0.029999999999999805,0.0599999999999996,0.016,0.032,-0.03,-0.0159997939999999
2023-05-18,1,0.08000000000000007,0.1400000000000001,0.048,0.0419999999999998,-0.0599999999999999,0.006000044
2023-05-19,1,0.050000000000000266,0.04,0.052,0.024,0.0099999999999999,0.027999876
2023-05-22,1,0.020000000000000018,0.0,-0.0209999999999999,-0.0189999999999996,0.02,-0.002000096
2023-05-23,1,-0.020000000000000018,0.0100000000000002,0.0749999999999997,0.052,-0.0299999999999999,0.02300024
2023-05-24,0,0.029999999999999805,0.0499999999999998,0.0289999999999999,0.0049999999999998,-0.02,0.02399993
2023-05-25,0,0.10000000000000009,0.1699999999999999,0.0950000000000002,0.1019999999999998,-0.07,-0.007000205
2023-05-26,1,-0.03000000000000025,0.0200000000000004,0.0419999999999998,0.044,-0.0499999999999999,-0.0019998549999999
2023-05-30,1,-0.10999999999999988,-0.1300000000000007,0.012,0.036,0.02,-0.02399993
2023-05-31,0,-0.04999999999999982,-0.0599999999999996,-0.1189999999999997,-0.1009999999999999,0.0099999999999999,-0.0180001259999999
2023-06-01,0,-0.03000000000000025,-0.06,0.0169999999999999,0.0190000000000001,0.03,-0.001999854
2023-06-02,1,0.08000000000000007,0.1499999999999999,-0.0539999999999998,-0.0420000000000002,-0.07,-0.0120003229999999
2023-06-05,1,0.0,-0.0300000000000002,0.0659999999999998,0.0659999999999998,0.03,2.379999999996274e-07
2023-06-07,1,0.10000000000000009,0.1100000000000003,-0.0390000000000001,-0.0309999999999996,-0.01,-0.007999895
2023-06-08,0,-0.06000000000000005,-0.04,0.1100000000000003,0.072,-0.02,0.03799987
2023-06-09,1,0.020000000000000018,0.0600000000000005,-0.0190000000000001,-0.0370000000000003,-0.0399999999999999,0.0179998839999999
2023-06-12,0,-0.020000000000000018,-0.0700000000000002,-0.0369999999999999,-0.0129999999999999,0.0499999999999999,-0.0239999289999999
2023-06-13,1,0.10999999999999988,0.1399999999999996,0.0019999999999997,-0.0089999999999998,-0.03,0.0110001549999999
2023-06-14,0,-0.009999999999999787,0.0700000000000002,0.0569999999999999,0.0609999999999999,-0.08,-0.004000186
2023-06-15,0,-0.10999999999999988,-0.1399999999999996,0.0500000000000002,0.0809999999999999,0.03,-0.0309998989999999
2023-06-16,1,0.04999999999999982,0.0899999999999998,-0.028,-0.0409999999999999,-0.04,0.013000015
2023-06-19,0,0.0,0.0,-0.024,-0.0019999999999997,0.0,-0.022000078
2023-06-20,0,-0.029999999999999805,-0.0300000000000002,0.0089999999999998,-0.016,0.0,0.025000098
2023-06-21,0,-0.020000000000000018,0.0,-0.0209999999999999,0.004,-0.0199999999999999,-0.025000098
2023-06-22,1,0.07999999999999963,0.08,0.0259999999999998,0.0209999999999999,0.0,0.0050001149999999
2023-06-23,0,-0.05999999999999961,-0.0499999999999998,0.016,0.0169999999999999,-0.01,-0.0009999269999999
2023-06-26,1,-0.020000000000000018,-0.0200000000000004,-0.0519999999999996,-0.0409999999999999,0.0,-0.011000157
2023-06-27,0,0.04999999999999982,0.08,-0.008,-0.0300000000000002,-0.03,0.021999837
2023-06-28,0,-0.06000000000000005,-0.0599999999999996,0.008,0.0190000000000001,0.0,-0.0109996799999999
2023-06-29,0,0.14000000000000012,0.1699999999999999,0.0149999999999996,0.0270000000000001,-0.03,-0.012000323
2023-06-30,1,-0.040000000000000036,0.0,0.0489999999999999,0.0779999999999998,-0.04,-0.028999806
2023-07-03,1,0.04999999999999982,0.0699999999999994,-0.0679999999999996,-0.0489999999999999,-0.0199999999999999,-0.018999815
2023-07-04,0,0.0,0.0,0.016,0.0060000000000002,0.0,0.009999753
2023-07-05,0,0.0900000000000003,0.0300000000000002,0.0209999999999999,-0.0010000000000003,0.0599999999999999,0.022000074
2023-07-06,0,0.09999999999999964,0.0899999999999998,0.0689999999999999,0.0580000000000002,0.01,0.010999917
2023-07-07,0,0.009999999999999787,-0.04,0.048,0.0589999999999997,0.05,-0.010999917
2023-07-10,0,-0.04999999999999982,-0.0999999999999996,0.1019999999999998,0.06,0.0499999999999999,0.041999817
2023-07-11,1,-0.019999999999999574,-0.0200000000000004,-0.1049999999999999,-0.092,0.0,-0.01300001
2023-07-12,1,-0.13000000000000034,-0.1599999999999992,-0.0020000000000002,0.0010000000000003,0.03,-0.0029997839999999
2023-07-13,1,-0.10000000000000009,-0.1500000000000003,-0.0989999999999997,-0.1020000000000003,0.0499999999999999,0.0030000209999999
2023-07-14,1,0.07000000000000028,0.1399999999999996,0.028,0.012,-0.07,0.015999793
2023-07-17,0,-0.020000000000000018,-0.0099999999999997,-0.0249999999999999,-0.0029999999999996,-0.01,-0.0219998349999999
2023-07-18,0,-0.010000000000000231,0.0099999999999997,-0.0090000000000003,-0.0150000000000001,-0.02,0.0060000419999999
2023-07-19,1,-0.04999999999999982,-0.0099999999999997,-0.0759999999999996,-0.0529999999999999,-0.0399999999999999,-0.023000002
2023-07-20,0,0.10000000000000009,0.0899999999999998,0.0309999999999996,0.0379999999999998,0.01,-0.007000208
2023-07-21,1,-0.010000000000000231,0.0100000000000006,0.0300000000000002,0.0209999999999999,-0.02,0.009000063
2023-07-24,1,0.020000000000000018,0.04,0.004,0.0150000000000001,-0.02,-0.010999918
2023-07-25,1,0.050000000000000266,0.0499999999999998,0.044,0.028,0.0,0.016000032
2023-07-26,0,-0.050000000000000266,-0.0600000000000005,-0.0260000000000002,-0.0180000000000002,0.01,-0.008000135
2023-07-27,1,0.1499999999999999,0.1100000000000003,-0.0209999999999999,-0.0399999999999995,0.04,0.019000291
2023-07-28,1,-0.04999999999999982,-0.0600000000000005,0.0910000000000001,0.0479999999999996,0.0099999999999998,0.042999745
2023-07-31,1,0.010000000000000231,-0.0099999999999997,0.0329999999999999,0.0460000000000002,0.02,-0.013000015
2023-08-01,1,0.07999999999999963,0.0600000000000005,-0.0340000000000002,-0.0340000000000002,0.02,0.0
2023-08-02,0,0.03000000000000025,-0.0300000000000002,0.0660000000000002,0.0300000000000002,0.06,0.0360000199999999
2023-08-03,0,0.1200000000000001,0.04,0.068,0.0369999999999999,0.08,0.03100013
2023-08-04,0,-0.15000000000000036,-0.1299999999999999,0.0149999999999996,0.024,-0.02,-0.00900006
2023-08-07,0,0.040000000000000036,-0.0099999999999997,-0.0619999999999998,-0.0489999999999999,0.05,-0.01300001
2023-08-08,0,-0.07000000000000028,-0.08,-0.0739999999999998,-0.0420000000000002,0.0099999999999999,-0.0320000649999999
2023-08-09,1,-0.019999999999999574,0.0499999999999998,0.0339999999999998,0.0250000000000003,-0.0699999999999999,0.0090000649999999
2023-08-10,0,0.08999999999999986,0.0599999999999996,0.012,0.0149999999999996,0.0299999999999999,-0.0030000199999999
2023-08-11,0,0.07000000000000028,0.0899999999999998,0.0379999999999998,0.0110000000000001,-0.02,0.02699995
2023-08-14,0,0.03000000000000025,0.08,0.0649999999999999,0.0489999999999999,-0.0499999999999999,0.01600003
2023-08-16,0,0.08999999999999986,0.04,-0.0219999999999997,-0.0349999999999997,0.0499999999999999,0.0130002499999999
2023-08-17,0,0.019999999999999574,-0.0099999999999997,0.1089999999999999,0.0759999999999996,0.03,0.0329997499999999
