Date,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
2021-08-13,696468122,20201969432850,0.08267839329589521,-2698983656328,-207942413327,-26239495506,71915228815
2021-08-17,690842314,22241588390442,-0.008077624549196472,-416474301204,-79915879813,43211717370,-33300382117
2021-08-18,622791632,16752626526034,-0.09850392864036406,-262289832287,275581200077,24129415005,92055167772
2021-08-19,655629079,17170843636716,0.052726217426119826,-271022343806,-153880075947,-82919628540,-21397868332
2021-08-20,672088491,16450579796320,0.025104762017427174,-257002456198,-7044428713,-7836724990,33691528469
2021-08-23,570979933,13424032926826,-0.15043935337973224,-27896085295,457016393044,54566012793,31170092028
2021-08-24,586535144,14946073572844,0.02724300820568426,154569606638,63307766487,12750741873,72488091757
2021-08-25,624688408,13365595656643,0.06504855572644086,161946805744,-10514475843,333847177982,22790964265
2021-08-26,727719083,13335287860349,0.16493130604081907,-364183966521,-100600671524,36180616272,-6940843176
2021-08-27,520668771,11039934421080,-0.2845195582152955,-371764647559,629117239461,22670847835,22453595519
2021-08-30,602858388,11758710379309,0.1578539401204071,-233861142615,152623459792,60716191530,-9562151800
2021-08-31,661221167,15863630339895,0.0968100969675818,1122966401177,-161243731007,13380085130,-3393268683
2021-09-01,746705227,13537907689214,0.129282098435908,77536662099,-37506100891,33139018341,5492364899
2021-09-02,757859615,15378375212484,0.014938141045047315,548159354628,-355194374577,-25417988015,-1048340088150
2021-09-03,641510055,13110992029700,-0.15352389505541864,588157139552,-28768295060,20238800760,-80952479587
2021-09-06,726190124,12313477364484,0.13200115624064535,62039912412,29843332688,-12326798015,-261075373
2021-09-07,760159709,11943337187144,0.04677781186679986,-311137493676,-145059311913,4953283945,26043735404
2021-09-08,859889326,17302711069208,0.13119561036876792,-223230326495,-9102197852,-71674530917,-104172050682
2021-09-09,927368577,17787104851733,0.07847434426695044,-319568958819,-955116662862,158598945404,-168842666965
2021-09-10,723085303,13566490029242,-0.2202827215268045,-517843970667,301388981503,50311008258,-130914665949
2021-09-13,732269520,13505433023679,0.012701429502018247,142400124348,178253746526,42618707307,-30544190017
2021-09-14,713227276,15787292366491,-0.026004419793411615,298439132422,584085083508,78284220493,-6916378985
2021-09-15,616557070,12162693523272,-0.13553913212932145,298111497723,-123720917305,-18717144264,31425591976
2021-09-16,612873472,12259518128260,-0.005974463969734334,20681036843,-379050111792,-72822902700,-16414893080
2021-09-17,589244026,14937657948864,-0.03855517831909028,53895512419,-404390159816,141022338882,-14266881529
2021-09-23,623841308,14009138133250,0.05871469284951214,576941521325,-582943636,-97357955322,19956033895
2021-09-24,753222478,12558236431734,0.2073943619007672,82639153047,-206722666152,-30186532511,-26700145631
2021-09-27,883229339,12266966973757,0.1726008779573358,342728101916,97079727898,-16762460345,-8407702634
2021-09-28,894913170,14658731286208,0.013228535878607284,4030086557,-511259609658,14213860306,-28267688072
2021-09-29,821557926,15137007962920,-0.08196911885876035,-662495841355,-300556751726,63653517726,-38252372222
2021-09-30,885818713,14942853884792,0.0782182058821741,37247595174,-222765442561,28136886966,-60578288848
2021-10-01,855481955,12944006323787,-0.034247140588460345,-303461626983,-360991448255,-35937079966,-27710225559
2021-10-05,840557005,15315537326790,-0.017446247595017894,-620628462550,306744466618,16756778410,-36023313105
2021-10-06,901721943,15668592169787,0.07276715039689674,-276928882710,88922961599,42401466027,-38165381241
2021-10-07,595381702,11906736775955,-0.33972805406156115,-104997843613,582337542213,61558116275,-19874548407
2021-10-08,668946781,12634091306885,0.12355952282860039,-48546564724,-356361840554,38771882239,-87271234347
2021-10-12,660180934,12767649889473,-0.013103952734320745,-824220360917,-199897407370,-1468021793,48741145718
2021-10-13,752132429,12294514171307,0.13928226379224706,-271076290544,588370956150,82521400617,78568834834
2021-10-14,617170079,12064564380622,-0.1794396103614886,-384533444585,462365711176,89975694541,3857709457
2021-10-15,857797842,12540973320207,0.38988889965289464,86866571209,125465401086,33015446198,33745489001
2021-10-18,926369474,10649948958411,0.07993915191034029,35920884303,-327654252283,-24634701113,-34005832987
2021-10-19,845703531,10112026428717,-0.08707750553533455,148731170443,383116502332,-16019561980,-126029147678
2021-10-20,680326898,11178213476930,-0.19554918117044018,-69538320207,14730515317,-54094209890,-101425112936
2021-10-21,887369794,10572398217802,0.3043285464806067,53787925576,181133380450,-6690641841,-29574434689
2021-10-22,695272936,9047262545950,-0.21647892377999967,-108832709699,246453310653,-18636676340,-46496006349
2021-10-25,791795966,10489293804156,0.13882753808210935,38373541830,338729130333,-32447907640,-34207963034
2021-10-26,564559805,9512681741122,-0.28698827824035666,107286670324,287428216288,-906225057,32517267949
2021-10-27,607875370,10220672977011,0.07672449334220666,-288523500231,-184116705602,-34139622746,-64910464172
2021-10-28,617256798,12367618427652,0.015433143803803118,-248122879786,-112429997571,24630433875,-14277164595
2021-10-29,545833755,11035682384856,-0.11571041944199045,-805789439074,-347873802899,-14504823365,-78611439267
2021-11-01,475382111,9410799387549,-0.12907161448818794,-356245223325,764308817002,-33152492975,-65239650602
2021-11-02,525853038,9662968105172,0.10616917597894204,322429269438,856588969992,-6684518287,-31894286581
2021-11-03,658648364,12438267928860,0.2525331535690396,-446963595080,-552545512256,-8104683222,148479191333
2021-11-04,772023904,14658519584987,0.17213363943009807,354163482627,463859081944,-42173723227,-122924237961
2021-11-05,688027918,12669722983462,-0.10879972182830233,116545670834,-165634704892,-29358873393,-202498090662
2021-11-08,560205356,10388089493103,-0.18578106884319767,-116792600808,1238972509,-61968718074,-92859140207
2021-11-09,708773471,9684977252764,0.2652029535397731,-135503238715,402128220031,-19973581817,-108999212547
2021-11-10,570931752,9663221463613,-0.19447923016294721,-20829351340,-74099919833,-43718722130,-91145253523
2021-11-11,572859058,13468395643103,0.003375720466147758,86251525234,1630896679,-62549569930,-140987179050
2021-11-12,665733196,12472956374638,0.1621238884207361,432432182659,428035846231,41068917722,104466615415
2021-11-15,639395683,11402053251342,-0.03956166397927374,399674833676,412012012019,-27218753923,46850207009
2021-11-16,579646335,11101212743890,-0.09344659275718004,647756674326,80778392240,-30896179005,-64277193849
2021-11-17,541489534,10661680483275,-0.06582772752285238,103201400497,-626700075965,-53528001362,-100067061839
2021-11-18,541652823,10119317376788,0.0003015552282124023,-47192524618,-30463646272,-59264681396,-55339209177
2021-11-19,657093788,11002168877105,0.21312722854580235,232313455373,124433569234,-13598996846,-12703046628
2021-11-22,530959176,12945532600397,-0.19195830839295658,796949842169,563230432216,-22714584305,54195787091
2021-11-23,524233416,10830503621150,-0.012667188559897902,282388382183,-562487651572,-101364936853,-26648431909
2021-11-24,556640473,10963458592619,0.06181799177792202,318589823672,-512961743387,-70825235266,24494452562
2021-11-25,595969686,9401090529106,0.07065460545482116,-92544623479,-57673826347,-14857127615,-1266130125
2021-11-26,595597647,11901297731572,-0.0006242582613505965,-180767543511,-275960104525,-18806626288,-56177072744
2021-11-29,844400434,13092783140665,0.41773634978782925,45504189683,681485852301,70910742127,-35998078677
2021-11-30,983556318,19852270868593,0.1647984515365608,-134042212781,-431415568025,-27977279770,-102395381643
2021-12-01,563927192,12534484740158,-0.42664473637187295,943893334995,-136518167179,80333184394,123337646689
2021-12-02,534461669,11918441491698,-0.05225058024866447,888751384824,-11516510161,29019396019,36534783266
2021-12-03,486749001,10344372944198,-0.08927238521945335,154716143993,-95991409161,28709849560,153726018332
2021-12-06,479907913,9657402253160,-0.014054652368973186,4737894467,58739564438,26832483356,81685032625
2021-12-07,541370062,10215647036599,0.12807071384963797,212105851668,-113689382175,62064163927,-70673934326
2021-12-08,488246121,11115220654811,-0.0981287011027957,-79830040520,894806053714,-18054821210,-18674514016
2021-12-09,513445799,12614031150535,0.051612653774672834,325989585112,962379093948,-123678697930,-239506736728
2021-12-10,451599491,8434890985993,-0.12045343076222148,-280733847232,-81509342621,239344988951,103956897223
2021-12-13,375828375,8629448910198,-0.1677838826439244,-133918235772,386439102340,53113320584,74417427555
2021-12-14,581569904,9856789517126,0.5474347938736663,181477169031,-169816180633,-19254416379,84078753634
2021-12-15,432874423,8253059437129,-0.25567946342697956,-22297916721,-36134647268,-35304399498,-68137285421
2021-12-16,402825154,8524314062950,-0.06941798222160145,187222572931,96491398788,-40268165914,-26647170115
2021-12-17,451824159,11650002805031,0.12163839450800529,531812406165,141118142870,-24040035768,-5354039544
2021-12-20,377584565,8621305733909,-0.16431081101176792,-559589143684,-287247027624,-66185778621,-106283976002
2021-12-21,410979633,9108501429680,0.08844394367656427,32862902173,587856045779,-7705658173,22998520112
2021-12-22,461755372,8835649524455,0.12354806643179805,423257816009,68773296055,-3223582816,-17010996427
2021-12-23,483838948,9319626829913,0.047825271429652094,235095269005,587406124324,-12584084060,-23048344276
2021-12-24,537548258,8583472759012,0.11100658643131811,195000137299,808806897305,10697774810,19905149579
2021-12-27,475363053,8280394735651,-0.11568301836074413,51606672474,410032129748,-8054560474,-12398073000
2021-12-28,607046190,12096893607293,0.27701592744524883,452754553471,1454107322584,4801035066,-3830735006
2021-12-29,545831859,10908667230981,-0.10083965933465455,-127818636959,-1494159005423,28764782934,-88127063587
2021-12-30,461038202,8727458062998,-0.15534757746707484,-218408541187,-928808475500,111152203429,-46853305425
2022-01-04,621549385,9991473942836,0.42614160976324267,88320676077,-763984512464,44849452345,-15769338988
2022-01-05,787346121,15428422516445,0.26674748620336897,620306631463,-1054513731623,12124810322,-79401996162
2022-01-06,786045066,13297135242112,-0.0016524562264275122,179393172726,-362186764838,95488036360,-141574797738
2022-01-07,546172478,10582421237357,-0.3051639128283772,654784683881,-383446532982,43976967672,-60387661544
2022-01-10,477399917,10397827640756,-0.12591729493920045,-87916196179,-287280619721,-16846330971,-134251061190
2022-01-11,566171897,10646541507362,0.18594888025504197,482015439035,-113687863753,32990502741,-94054348734
