Date,Close,High,Low,Open,Return,Log_Return,Volatility_20,ATR_14,RSI_14,MACD,MACD_Signal
2021-05-17,3134.52001953125,3173.010009765625,3121.320068359375,3163.2099609375,,,,,,0.0,0.0
2021-05-18,3173.050048828125,3176.39990234375,3135.3798828125,3135.3798828125,0.012292162454472733,0.012217227277544969,,,,3.0736205706912187,0.6147241141382438
2021-05-20,3162.280029296875,3174.530029296875,3140.47998046875,3174.530029296875,-0.0033942167206684193,-0.0033999901421061587,,,,4.587553983176349,1.4092900879458647
2021-05-21,3156.419921875,3198.010009765625,3149.4599609375,3171.909912109375,-0.0018531272903045126,-0.0018548464548970743,,,,5.25393137545052,2.178218345446796
2021-05-24,3144.300048828125,3163.27001953125,3137.81005859375,3155.909912109375,-0.0038397530578490047,-0.003847143834860228,,,,4.74932058360173,2.6924387930777827
2021-05-25,3171.320068359375,3173.10009765625,3148.300048828125,3152.929931640625,0.00859333368687909,0.008556621166980624,,,,6.455290090103517,3.4450090524829298
2021-05-26,3168.429931640625,3183.969970703125,3160.300048828125,3171.909912109375,-0.0009113355500081077,-0.0009117510687209602,,,,7.487759109484159,4.253559063883176
2021-05-27,3165.510009765625,3173.860107421875,3142.3701171875,3170.840087890625,-0.000921567444443383,-0.0009219923487927802,,,,7.978414754475125,4.998530202001566
2021-05-28,3188.72998046875,3198.659912109375,3171.85009765625,3172.090087890625,0.007335301620115198,0.007308529138287466,,,,10.124214820121779,6.023667125625609
2021-05-31,3203.919921875,3204.2900390625,3179.8701171875,3192.06005859375,0.004763633640756604,0.0047523234422306455,,,,12.901754757863728,7.3992846520732325
2021-06-01,3221.8701171875,3233.169921875,3199.179931640625,3207.1201171875,0.005602573019988233,0.005586936981944028,,,,16.362785904865177,9.19198490263162
2021-06-02,3224.22998046875,3241.070068359375,3216.10009765625,3224.39990234375,0.000732451401023626,0.0007321832894073601,,,,19.076200701677408,11.16882806244078
2021-06-03,3247.429931640625,3258.5,3224.9599609375,3224.9599609375,0.00719550134835667,0.007169737245131059,,,,22.8354112405068,13.502144698053982
2021-06-04,3240.080078125,3246.18994140625,3218.669921875,3246.169921875,-0.0022632831717208646,-0.0022658482681691713,,33.2249755859375,77.86992393966739,24.93411595497537,15.788538949438262
2021-06-07,3252.1201171875,3264.409912109375,3233.39990234375,3244.590087890625,0.0037159695971056284,0.003709082438457485,,31.747837611607142,79.19276717057609,27.25470976240831,18.081773112032273
2021-06-08,3247.830078125,3264.669921875,3242.56005859375,3251.830078125,-0.0013191514790081849,-0.0013200223252567964,,30.335693359375,72.36513335153899,28.420018492449344,20.149422188115686
2021-06-09,3216.179931640625,3246.489990234375,3216.179931640625,3245.080078125,-0.009745013046571382,-0.009792806437827387,,30.164271763392858,64.33050237961089,26.484336797944707,21.41640511008149
2021-06-10,3224.639892578125,3235.389892578125,3210.31005859375,3216.93994140625,0.0026304376985477607,0.0026269841522047685,,28.487827845982142,67.89048624547502,25.340829940592812,22.201290076183756
2021-06-11,3249.320068359375,3251.580078125,3226.97998046875,3226.97998046875,0.0076536222968817125,0.007624481921586922,,28.593558175223215,75.83896971371593,26.12492457404278,22.98601697575556
2021-06-14,3252.1298828125,3254.489990234375,3238.510009765625,3249.60009765625,0.0008647392051297498,0.0008643655335867446,,27.677839006696427,72.57131167104231,26.66566853583754,23.721947287771957
