Target,US_Interest_Rate_3Y__diff1,KR_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,KR_Spread_10Y_3Y__diff1
1,0.0,-0.0009999999999998,0.0,0.0009999299999999
0,0.0,-0.0009999999999998,0.0,0.0009999299999999
0,-0.0899999999999998,-0.0539999999999998,0.03,0.0060000429999999
1,-0.1099999999999998,-0.0710000000000001,0.1,0.025000097
0,0.2299999999999999,0.0510000000000001,-0.0799999999999999,-0.019000055
0,-0.0300000000000002,-0.0050000000000003,0.0399999999999999,0.0130000109999999
0,-0.1200000000000001,0.0170000000000003,0.02,0.006000044
0,0.0100000000000002,-0.0529999999999999,-0.05,0.00399995
1,0.0899999999999998,0.0049999999999998,-0.0199999999999999,-0.023000005
1,0.02,0.0539999999999998,0.0199999999999999,0.0039999479999999
1,0.0700000000000002,-0.0369999999999999,-0.03,0.0079998969999999
1,0.0599999999999996,0.032,-0.03,-0.0159997939999999
1,0.1400000000000001,0.0419999999999998,-0.0599999999999999,0.006000044
1,0.04,0.024,0.0099999999999999,0.027999876
1,0.0,-0.0189999999999996,0.02,-0.002000096
0,0.0100000000000002,0.052,-0.0299999999999999,0.02300024
0,0.0499999999999998,0.0049999999999998,-0.02,0.02399993
1,0.1699999999999999,0.1019999999999998,-0.07,-0.007000205
1,0.0200000000000004,0.044,-0.0499999999999999,-0.0019998549999999
0,-0.1300000000000007,0.036,0.02,-0.02399993
0,-0.0599999999999996,-0.1009999999999999,0.0099999999999999,-0.0180001259999999
1,-0.06,0.0190000000000001,0.03,-0.001999854
1,0.1499999999999999,-0.0420000000000002,-0.07,-0.0120003229999999
1,-0.0300000000000002,0.0659999999999998,0.03,2.379999999996274e-07
0,0.1100000000000003,-0.0309999999999996,-0.01,-0.007999895
1,-0.04,0.072,-0.02,0.03799987
0,0.0600000000000005,-0.0370000000000003,-0.0399999999999999,0.0179998839999999
1,-0.0700000000000002,-0.0129999999999999,0.0499999999999999,-0.0239999289999999
0,0.1399999999999996,-0.0089999999999998,-0.03,0.0110001549999999
0,0.0700000000000002,0.0609999999999999,-0.08,-0.004000186
1,-0.1399999999999996,0.0809999999999999,0.03,-0.0309998989999999
0,0.0899999999999998,-0.0409999999999999,-0.04,0.013000015
0,0.0,-0.0019999999999997,0.0,-0.022000078
0,-0.0300000000000002,-0.016,0.0,0.025000098
1,0.0,0.004,-0.0199999999999999,-0.025000098
0,0.08,0.0209999999999999,0.0,0.0050001149999999
1,-0.0499999999999998,0.0169999999999999,-0.01,-0.0009999269999999
0,-0.0200000000000004,-0.0409999999999999,0.0,-0.011000157
0,0.08,-0.0300000000000002,-0.03,0.021999837
0,-0.0599999999999996,0.0190000000000001,0.0,-0.0109996799999999
1,0.1699999999999999,0.0270000000000001,-0.03,-0.012000323
1,0.0,0.0779999999999998,-0.04,-0.028999806
0,0.0699999999999994,-0.0489999999999999,-0.0199999999999999,-0.018999815
0,0.0,0.0060000000000002,0.0,0.009999753
0,0.0300000000000002,-0.0010000000000003,0.0599999999999999,0.022000074
0,0.0899999999999998,0.0580000000000002,0.01,0.010999917
0,-0.04,0.0589999999999997,0.05,-0.010999917
1,-0.0999999999999996,0.06,0.0499999999999999,0.041999817
1,-0.0200000000000004,-0.092,0.0,-0.01300001
1,-0.1599999999999992,0.0010000000000003,0.03,-0.0029997839999999
1,-0.1500000000000003,-0.1020000000000003,0.0499999999999999,0.0030000209999999
0,0.1399999999999996,0.012,-0.07,0.015999793
0,-0.0099999999999997,-0.0029999999999996,-0.01,-0.0219998349999999
1,0.0099999999999997,-0.0150000000000001,-0.02,0.0060000419999999
0,-0.0099999999999997,-0.0529999999999999,-0.0399999999999999,-0.023000002
1,0.0899999999999998,0.0379999999999998,0.01,-0.007000208
1,0.0100000000000006,0.0209999999999999,-0.02,0.009000063
1,0.04,0.0150000000000001,-0.02,-0.010999918
0,0.0499999999999998,0.028,0.0,0.016000032
