Variable1,Variable2,Correlation,AbsCorrelation,Flag
US_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,-0.4202134207795038,0.4202134207795038,Normal
US_Interest_Rate_3Y__diff1,KR_Interest_Rate_3Y__diff1,0.1272028488182677,0.1272028488182677,Normal
US_Spread_10Y_3Y__diff1,KR_Spread_10Y_3Y__diff1,0.1209705445638353,0.1209705445638353,Normal
KR_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,0.08115665325405716,0.08115665325405716,Normal
US_Interest_Rate_3Y__diff1,KR_Spread_10Y_3Y__diff1,0.05477877261013059,0.05477877261013059,Normal
KR_Interest_Rate_3Y__diff1,KR_Spread_10Y_3Y__diff1,0.04456551583759097,0.04456551583759097,Normal
