Close,Open,Return,Log_Return,Volatility_20,ATR_14,RSI_14,MACD,MACD_Signal,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund,S&P500,USD_KRW,Dollar_Index,VIX,US_GDP,US_M2,US_Interest_Rate_3Y,US_UNRATE,KR_GDP,KR_Interest_Rate_10Y,KR_Interest_Rate_3Y,US_Spread_10Y_3Y,KR_Spread_10Y_3Y
3134.52001953125,3163.2099609375,0.00088875837347165,0.0008883634437582999,0.0106316081367297,35.009286063058035,51.96724935740269,0.0,0.0,771305645,14552523724082,0.0192372117281729,-602211401604,-89333134255,-11110077289,6377605324,4163.2900390625,1125.530029296875,90.22000122070312,19.71999931335449,23982.379,20477.1,0.34,5.9,524124400000000.0,2.117,1.107,1.2999999999999998,1.0100001
3173.050048828125,3135.3798828125,0.0122921624544727,0.0122172272775449,0.0106316081367297,35.009286063058035,51.96724935740269,3.0736205706912187,0.6147241141382438,786143415,13898610218787,0.0192372117281729,-350011955199,963421079159,20903911949,21982306938,4127.830078125,1135.510009765625,89.75,21.34000015258789,23982.379,20477.1,0.34,5.9,524124400000000.0,2.118,1.099,1.2999999999999998,1.019
3162.280029296875,3174.530029296875,-0.0033942167206684,-0.0033999901421061,0.0106316081367297,35.009286063058035,51.96724935740269,4.587553983176349,1.4092900879458647,774252245,13719656585417,-0.0151259551032428,-515824658601,-89663104703,-13354130145,-37324887396,4159.1201171875,1130.3699951171875,89.80999755859375,20.670000076293945,23982.379,20477.1,0.34,5.9,524124400000000.0,2.135,1.103,1.2899999999999998,1.032
3156.419921875,3171.909912109375,-0.0018531272903045,-0.001854846454897,0.0106316081367297,35.009286063058035,51.96724935740269,5.25393137545052,2.178218345446796,797262205,14789457191323,0.0297189451481667,-130375658375,111994449586,-1411358719,-24386777205,4155.85986328125,1127.050048828125,90.0199966430664,20.149999618530277,23982.379,20477.1,0.34,5.9,524124400000000.0,2.123,1.095,1.2899999999999998,1.0279999
3144.300048828125,3155.909912109375,-0.003839753057849,-0.0038471438348602,0.0106316081367297,35.009286063058035,51.96724935740269,4.74932058360173,2.6924387930777827,587968268,11604047358277,-0.2625158143549524,-220747806116,68222464174,14328516188,27536500405,4197.0498046875,1126.7900390625,89.83000183105469,18.399999618530277,23982.379,20477.1,0.32,5.9,524124400000000.0,2.12,1.116,1.29,1.0039998
3171.320068359375,3152.929931640625,0.008593333686879,0.0085566211669806,0.0106316081367297,35.009286063058035,51.96724935740269,6.455290090103517,3.4450090524829298,612976970,11728027229513,0.0425341015171927,71409301708,795297151637,8887584790,24219020276,4188.1298828125,1122.18994140625,89.63999938964844,18.84000015258789,23982.379,20477.1,0.3,5.9,524124400000000.0,2.129,1.142,1.26,0.987
3168.429931640625,3171.909912109375,-0.0009113355500081,-0.0009117510687209,0.0106316081367297,35.009286063058035,51.96724935740269,7.487759109484159,4.253559063883176,1269999045,13173015885449,1.071854420566567,-17487854129,262613885234,31359371001,-21283929175,4195.990234375,1121.3800048828125,90.04000091552734,17.360000610351562,23982.379,20477.1,0.31,5.9,524124400000000.0,2.128,1.161,1.27,0.967
3165.510009765625,3170.840087890625,-0.0009215674444433,-0.0009219923487927,0.0106316081367297,35.009286063058035,51.96724935740269,7.978414754475125,4.998530202001566,1082006090,20682335393904,-0.1480260601298326,-242880845968,273516701106,46442014655,19782821274,4200.8798828125,1115.52001953125,89.97000122070312,16.739999771118164,23982.379,20477.1,0.31,5.9,524124400000000.0,2.111,1.124,1.3,0.9870001
3188.72998046875,3172.090087890625,0.0073353016201151,0.0073085291382874,0.0106316081367297,35.009286063058035,51.96724935740269,10.12421482012178,6.023667125625609,966367978,13533299075577,-0.1068738088156232,142857297682,577877259578,44203028082,48899316583,4204.10986328125,1117.300048828125,90.02999877929688,16.760000228881836,23982.379,20477.1,0.3,5.9,524124400000000.0,2.132,1.162,1.28,0.97
3203.919921875,3192.06005859375,0.0047636336407566,0.0047523234422306,0.0106316081367297,35.009286063058035,51.96724935740269,12.901754757863728,7.399284652073232,1123524809,14017446050339,0.1626262816833528,520446004132,-669312049332,17632478084,-98412986613,4204.10986328125,1112.8499755859375,90.02999877929688,16.760000228881836,23982.379,20477.1,0.3,5.9,524124400000000.0,2.179,1.227,1.28,0.9519999
3221.8701171875,3207.1201171875,0.0056025730199882,0.005586936981944,0.0106316081367297,35.009286063058035,51.96724935740269,16.362785904865177,9.19198490263162,1472570767,15270803742087,0.3106704500016073,-53072513283,616182547052,-15671866078,53577534239,4202.0400390625,1106.97998046875,89.83000183105469,17.899999618530273,23982.379,20477.1,0.31,5.9,524124400000000.0,2.186,1.213,1.31,0.97300005
3224.22998046875,3224.39990234375,0.0007324514010236,0.0007321832894073,0.0106316081367297,35.009286063058035,51.96724935740269,19.076200701677408,11.16882806244078,1495671343,17740841975268,0.0156872433689971,33590106865,-227929823621,19211081478,-20944470431,4208.1201171875,1107.2099609375,89.9000015258789,17.479999542236328,23982.379,20477.1,0.3,5.9,524124400000000.0,2.202,1.206,1.29,0.99599993
3247.429931640625,3224.9599609375,0.0071955013483566,0.007169737245131,0.0106316081367297,35.009286063058035,51.96724935740269,22.8354112405068,13.502144698053982,1584799068,16890461822422,0.0595904477391595,242041662471,349888394094,-8191099696,108430830431,4192.85009765625,1109.8800048828125,90.5,18.040000915527344,23982.379,20477.1,0.34,5.9,524124400000000.0,2.195,1.191,1.2899999999999998,1.004
3240.080078125,3246.169921875,-0.0022632831717208,-0.0022658482681691,0.0106316081367297,33.2249755859375,77.86992393966739,24.93411595497537,15.788538949438262,1392319539,16051031275689,-0.1214535854333301,175443737827,-613050220280,-57279397704,17727143617,4229.89013671875,1115.43994140625,90.13999938964844,16.420000076293945,23982.379,20477.1,0.32,5.9,524124400000000.0,2.173,1.22,1.24,0.95300007
3252.1201171875,3244.590087890625,0.0037159695971056,0.0037090824384574,0.0106316081367297,31.747837611607142,79.19276717057609,27.25470976240831,18.081773112032277,1733348139,19023221710305,0.2449355844312402,-187347266710,131449947543,-26847715030,26215014056,4226.52001953125,1109.6800537109375,89.94999694824219,16.420000076293945,23982.379,20477.1,0.33,5.9,524124400000000.0,2.156,1.201,1.24,0.9549999
3247.830078125,3251.830078125,-0.0013191514790081,-0.0013200223252567,0.0106316081367297,30.335693359375,72.36513335153899,28.420018492449344,20.14942218811569,1951319356,19352173579005,0.1257515510564146,-203701047226,373505769488,7059807953,-89992888228,4227.259765625,1109.3199462890625,90.08000183105467,17.06999969482422,23982.379,20477.1,0.32,5.9,524124400000000.0,2.116,1.174,1.21,0.9419999
