Date,y,Log_Return,RSI_14,ATR_14__logdiff1,Volatility_20__logdiff1,MACD__diff1,Volume_ROC,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund,Net_Purchase_Financial_Investment,Net_Purchase_Foreigner,Volume,Transaction_Value__logdiff1,US_Interest_Rate_10Y__diff1,US_Interest_Rate_3Y__diff1,KR_Interest_Rate_10Y__diff1,KR_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,KR_Spread_10Y_3Y__diff1,VIX,S&P500__logdiff1,Nikkei225__logdiff1,TaiwanWeighted__logdiff1,USD_KRW__logdiff1,Dollar_Index__logdiff1
2023-05-02,1,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-03,0,0.00909685,42.95905244,,,,-0.097920415,1195030937.0,20220427019.0,192000000000.0,345000000000.0,701398536.0,,,,,,,,15.77999973,,,,,
2023-05-04,0,-0.009148871,36.82574769,0.0038206566411904,0.0379164670317466,-2.32841092,0.268336491,-24640022215.0,-19957725851.0,-192000000000.0,-91428316585.0,889609358.0,-0.0070671672230915,-0.06,-0.0899999999999998,-0.048,-0.0539999999999998,0.03,0.0060000429999999,17.78000069,-0.0120400876470014,0.0,-0.0053267584300034,-0.0003649709986479,-0.0060994071439166
2023-05-08,1,-0.000183898,32.78127401,-0.0398388336470612,-0.0128530443860492,-1.9904637050000016,-0.089287632,7450229244.0,-63699621016.0,-261000000000.0,39620053616.0,810178245.0,0.0130852395486549,-0.0099999999999997,-0.1099999999999998,-0.0459999999999998,-0.0710000000000001,0.1,0.025000097,18.34000015,-0.0070229080245507,0.0,0.0035696927644348,-0.0052810503375404,0.0005919424129752
2023-05-09,0,0.004894167,33.69876222,0.0102621545306234,-0.0950786531505212,-0.6875098739999999,-0.190874254,35558512859.0,-112000000000.0,446000000000.0,253000000000.0,655536077.0,-0.082295242726829,0.1499999999999999,0.2299999999999999,0.032,0.0510000000000001,-0.0799999999999999,-0.019000055,20.09000015,-0.007244913381962,-0.0071614874958463,0.0057837329497179,-0.0137775260498784,-0.0002958899205749
2023-05-10,0,-0.001254124,31.44964835,0.0089241788941145,-0.0731536375900505,-0.8889214679999995,0.146614126,7424806742.0,28258174569.0,14371563962.0,115000000000.0,751646926.0,0.0150864930333796,0.0099999999999997,-0.0300000000000002,0.008,-0.0050000000000003,0.0399999999999999,0.0130000109999999,16.97999954,0.0187581927483506,0.0100679954213678,0.0017901584869282,0.0041298345866476,0.0026599365193682
2023-05-11,0,-0.00541292,29.97524765,-0.0091734571797439,-0.0263935485609394,-1.8662337319999995,-0.154343594,-4684242130.0,-61461501851.0,-111000000000.0,116000000000.0,635635038.0,-0.0482021018178784,-0.0999999999999996,-0.1200000000000001,0.0230000000000001,0.0170000000000003,0.02,0.006000044,17.70999908,-0.0045899388734031,-0.0041340115416019,-0.0054792556258504,0.0027487801800738,-0.0015753843135559
2023-05-12,0,-0.002209524,27.60727819,0.027539916525415,-0.1544372470720301,-1.969295965,0.019664347,26152016461.0,17623274813.0,13706685978.0,1829048943.0,648134386.0,0.0100503358535029,-0.04,0.0100000000000002,-0.0490000000000003,-0.0529999999999999,-0.05,0.00399995,16.94000053,0.0044739422795423,0.0001559174500727,-0.0081601743307899,-0.0060512265913068,0.0056990838850268
2023-05-15,1,-0.006274189,27.0864247,-0.0121071728965285,0.0153538634224279,-2.830910905,0.231580992,-13548821653.0,-34266627.0,-61425594326.0,-247000000000.0,798229990.0,-0.0466258413400559,0.0699999999999998,0.0899999999999998,-0.0179999999999997,0.0049999999999998,-0.0199999999999999,-0.023000005,16.93000031,-0.0016980650030724,0.0089406725263199,-0.0007917787433679,0.0089353075549638,0.0060565068043914
2023-05-16,1,0.001586421,31.57958049,-0.0204544897669936,-0.0201381771284552,-1.917330723,-0.392950908,4991779430.0,48066738562.0,91931794877.0,-49794741705.0,484564791.0,-0.2161829663665884,0.04,0.02,0.0579999999999998,0.0539999999999998,0.0199999999999999,0.0039999479999999,17.03000069,-0.0015845615743561,0.0080671626039006,-0.001763256317659,0.008714598006259,-0.0024377175473651
2023-05-17,1,0.000358857,36.18419103,-0.0056615049846464,-0.0226263295384185,-1.4222425639999998,0.297543248,-1689197625.0,902871183.0,-12011852011.0,228000000000.0,628743773.0,0.1562129614408256,0.04,0.0700000000000002,-0.0289999999999999,-0.0369999999999999,-0.03,0.0079998969999999,17.12000084,0.0029537976728502,0.0072861539958903,0.0127678968409234,-0.0045724239514042,0.0012683283941505
2023-05-18,1,0.005797086,52.06589841,-0.1051085602438446,0.037511682201714,0.0611734879999996,-0.102318618,36099119311.0,57824376465.0,39718012319.0,164000000000.0,564411579.0,-0.1137737781656689,0.0299999999999998,0.0599999999999996,0.016,0.032,-0.03,-0.0159997939999999,17.98999977,-0.0063981077277812,0.0083622078537732,0.0159114806651103,0.0052505543262499,0.0031152644737177
