Date,y,Log_Return,RSI_14,ATR_14__logdiff1,Volatility_20__logdiff1,MACD__diff1
2023-05-02,1,,,,,
2023-05-03,0,0.00909685,42.95905244,,,
2023-05-04,0,-0.009148871,36.82574769,0.0038206566411904,0.0379164670317466,-2.32841092
2023-05-08,1,-0.000183898,32.78127401,-0.0398388336470612,-0.0128530443860492,-1.9904637050000016
2023-05-09,0,0.004894167,33.69876222,0.0102621545306234,-0.0950786531505212,-0.6875098739999999
2023-05-10,0,-0.001254124,31.44964835,0.0089241788941145,-0.0731536375900505,-0.8889214679999995
2023-05-11,0,-0.00541292,29.97524765,-0.0091734571797439,-0.0263935485609394,-1.8662337319999995
2023-05-12,0,-0.002209524,27.60727819,0.027539916525415,-0.1544372470720301,-1.969295965
2023-05-15,1,-0.006274189,27.0864247,-0.0121071728965285,0.0153538634224279,-2.830910905
2023-05-16,1,0.001586421,31.57958049,-0.0204544897669936,-0.0201381771284552,-1.917330723
2023-05-17,1,0.000358857,36.18419103,-0.0056615049846464,-0.0226263295384185,-1.4222425639999998
2023-05-18,1,0.005797086,52.06589841,-0.1051085602438446,0.037511682201714,0.0611734879999996
2023-05-19,1,0.008279386,59.98688769,0.0110000939020347,0.0698381872439632,1.7268619050000005
2023-05-22,1,0.008861841,62.76297897,-0.03206923992879,0.0594178545938168,3.14384472
2023-05-23,1,0.007572374,65.6013143,0.0096014654602725,0.0280025841057307,3.970887916000001
2023-05-24,0,0.004086143,63.02829046,-0.0083634394333182,-0.0247647045257108,3.870008747
2023-05-25,0,-3.9e-05,73.13482867,-0.0302118226838161,-0.0516217789877133,2.90367337
2023-05-26,1,-0.004982307,67.3330856,0.0242367441072253,-0.1459145056108575,1.10357518
2023-05-30,1,0.001611467,65.52075439,-0.0363303674155446,-0.0087288929409474,1.027228319999999
2023-05-31,0,0.010384326,72.13415525,0.026846560468547,0.0610416421119808,2.757744920000002
2023-06-01,0,-0.003254114,74.38145297,-0.0044513790388496,0.0190859733800401,1.281348659999999
2023-06-02,1,-0.003089683,73.2994618,-0.0281655773455846,-0.036837070213747,0.1458997499999981
2023-06-05,1,0.012451567,84.15593909,0.0444239465891964,0.0085707550856772,2.45672201
2023-06-07,1,0.005386413,84.98037261,-0.0195949078053145,0.0047236697816535,2.792102540000002
2023-06-08,0,7.27e-05,84.92613941,-0.0242982103208078,-0.0029732315011514,1.917435600000001
2023-06-09,1,-0.001817678,81.55445375,-0.0102899959678852,0.0033371238173263,0.8162152399999982
2023-06-12,0,0.011542305,82.4658553,0.0430823314098107,0.0187651719450201,2.74092847
2023-06-13,1,-0.004481477,75.00273341,0.0131326372428324,0.021920558804843,0.857688630000002
2023-06-14,0,0.003265377,73.4527911,-0.0465248131696269,-0.0702923920880662,1.0005632399999982
2023-06-15,0,-0.007178941,64.24978767,0.0274560053862007,0.0825895869944117,-1.0902175899999982
2023-06-16,1,-0.004032448,60.74252035,0.0459419672473062,0.0287604244656449,-2.051381450000001
2023-06-19,0,0.006591125,68.16189585,-0.0196928118200276,0.0041141147010597,-0.5641832600000001
2023-06-20,0,-0.006223186,62.19037621,0.0358781622057859,0.0234295633632379,-2.068128730000001
