Date,Target,US_Interest_Rate_10Y__diff1,US_Interest_Rate_3Y__diff1,KR_Interest_Rate_10Y__diff1,KR_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,KR_Spread_10Y_3Y__diff1,VIX,S&P500__logdiff1,Nikkei225__logdiff1,TaiwanWeighted__logdiff1,USD_KRW__logdiff1,Dollar_Index__logdiff1,Log_Return,RSI_14,ATR_14__logdiff1,Volatility_20__logdiff1,MACD__diff1,Volume_ROC,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund,Net_Purchase_Financial_Investment,Net_Purchase_Foreigner,Volume,Transaction_Value__logdiff1
2023-06-02,1,-0.03,-0.06,0.017,0.019,0.03,-0.001999854,17.94000053,-0.006127358,0.00838645,-0.004007701,0.00147638,-0.007311964,-0.003089683,73.2994618,-0.028165577,-0.03683707,0.14589975,-0.01596265,-64976192345,-89826988954,-1.52E+11,-8205036565,675233437,-0.498757458
2023-06-05,1,0.08,0.15,-0.054,-0.042,-0.07,-0.012000323,15.64999962,0.009806215,0.01200581,0.011695638,-0.006748714,0.004432024,0.012451567,84.15593909,0.044423947,0.008570755,2.45672201,-0.156410938,50570760983,-41529220660,1.86E+11,3.73E+11,569619542,0.022642477
2023-06-07,1,0,-0.03,0.066,0.066,0.03,2.38E-07,14.60000038,0.014429812,0.021751439,0.000449984,-0.005890002,-0.000192257,0.005386413,84.98037261,-0.019594908,0.00472367,2.79210254,-0.041676651,39623511662,32891565367,2.99E+11,-19511906838,545879707,-0.09031203
2023-06-08,0,0.1,0.11,-0.039,-0.031,-0.01,-0.007999895,14.72999954,-0.002005591,-0.009470956,0.012370544,-0.004561673,0.000961062,7.27E-05,84.92613941,-0.02429821,-0.002973232,1.9174356,-0.015137005,-5509195087,-27170606428,4.03E+11,-40297072056,537616723,0.174119988
2023-06-09,1,-0.06,-0.04,0.11,0.072,-0.02,0.03799987,13.93999958,-0.001468164,-0.008574379,-0.011218924,0.007010479,-0.007327474,-0.001817678,81.55445375,-0.010289996,0.003337124,0.81621524,0.081300399,31205733976,22177453652,2.29E+11,-3.84E+11,581325177,0.119959315
2023-06-12,0,0.02,0.06,-0.019,-0.037,-0.04,0.017999884,13.64999962,0.006169572,0.019526051,0.009084568,-0.009221971,0.002126645,0.011542305,82.4658553,0.043082331,0.018765172,2.74092847,0.003257829,94071048993,-2906622654,2.72E+11,4.81E+11,583219035,-0.035401927
2023-06-13,1,-0.02,-0.07,-0.037,-0.013,0.05,-0.023999929,13.82999992,0.001147401,0.005218938,0.00407596,-0.007464178,0.000675705,-0.004481477,75.00273341,0.013132637,0.021920559,0.85768863,-0.044859037,-24320651857,-1.54E+11,2.41E+11,-3.42E+11,557056391,-0.169432012
2023-06-14,0,0.11,0.14,0.002,-0.009,-0.03,0.011000155,15.01000023,0.009277975,0.017865251,0.015289465,-0.001641201,-0.00280235,0.003265377,73.4527911,-0.046524813,-0.070292392,1.00056324,0.246409784,-10779867124,-2.31E+11,4.29E+11,1.37E+11,694320536,0.178400682
2023-06-15,0,-0.01,0.07,0.057,0.061,-0.08,-0.004000186,14.60999966,0.006908571,0.014545225,0.001250395,-0.01329066,-0.003198396,-0.007178941,64.24978767,0.027456005,0.082589587,-1.09021759,-0.057489419,27831824145,-1.68E+11,-6524523412,1.13E+11,654404452,0.156698452
2023-06-16,1,-0.11,-0.14,0.05,0.081,0.03,-0.030999899,13.88000011,0.00081909,-0.000505572,0.005602045,0.005012577,-0.008677472,-0.004032448,60.74252035,0.045941967,0.028760424,-2.05138145,-0.109973442,-16651753314,-2.10E+11,78906405394,-64115208893,582437342,-0.130265195
2023-06-19,0,0.05,0.09,-0.028,-0.041,-0.04,0.013000015,14.5,0.01210458,0.006566022,-0.002661188,-0.003097392,0.001761084,0.006591125,68.16189585,-0.019692812,0.004114115,-0.56418326,0.156644673,6384164616,-1.08E+11,-1.22E+11,4.28E+11,673673049,0.091349779
2023-06-20,0,0,0,-0.024,-0.002,0,-0.022000078,13.53999996,-0.003678376,-0.010008246,-0.000830334,0.00491684,0,-0.006223186,62.19037621,0.035878162,0.023429563,-2.06812873,0.068098308,-23908851758,-1.97E+11,2.30E+11,-3.60E+11,719549044,-0.126751706
2023-06-21,0,-0.03,-0.03,0.009,-0.016,0,0.025000098,13.53999996,0,0.000553879,-0.005203248,0.005414974,0.002343272,-0.00176054,55.21823402,-0.044137928,-0.029185836,-2.28953574,0.004157817,-12371268810,-92494181083,54014798597,-2.81E+11,722540797,-0.018182319
2023-06-22,1,-0.02,0,-0.021,0.004,-0.02,-0.025000098,13.88000011,-0.004746354,0.005562117,0.001017249,0.003345329,-0.004594126,-0.008589878,51.37971848,0.015951843,0.031548106,-3.8480746,-0.086835688,-21982924145,-96729857377,49997720039,-2.00E+11,659798470,-0.018519048
