Target,US_GDP,US_M2,US_Interest_Rate_10Y,US_Interest_Rate_3Y,US_UNRATE,KR_GDP,KR_Interest_Rate_10Y,KR_Interest_Rate_3Y,US_Spread_10Y_3Y,KR_Spread_10Y_3Y,S&P500,TaiwanWeighted,USD_KRW,Dollar_Index,VIX,Close,Return,Log_Return,Volatility_20,ATR_14,RSI_14,MACD,MACD_Signal,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
0,23982.379,20477.1,1.5,0.31,5.9,524124000000000.0,2.103,1.137,1.19,0.96599996,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.45,0.3,5.9,524124000000000.0,2.085,1.282,1.15,0.8030001,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.47,0.31,5.9,524124000000000.0,2.101,1.276,1.16,0.82500005,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.51,0.33,5.9,524124000000000.0,2.096,1.287,1.18,0.809,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.51,0.34,5.9,524124000000000.0,2.071,1.307,1.17,0.76400006,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.57,0.41,5.9,524124000000000.0,2.07,1.286,1.16,0.7839999,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20477.1,1.52,0.43,5.9,524124000000000.0,2.079,1.327,1.09,0.752,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.45,0.47,5.9,524124000000000.0,2.041,1.313,0.98,0.7279999,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20477.1,1.5,0.48,5.9,524124000000000.0,2.006,1.351,1.02,0.6550001,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.48,0.44,5.9,524124000000000.0,2.05,1.331,1.04,0.719,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
