Model,Accuracy,Precision,Recall,F1-Score,Strategy_Return(%),KOSPI_Return(%),MDD(%),Sharpe_Ratio,Total_Trades
LSTM,0.5357142857142857,0.6064139941690962,0.5793871866295265,0.5925925925925926,113.93565630422802,246.78261496798092,-19.24334897206372,1.3933769940541096,89
Random_Forest,0.551948051948052,0.6055979643765903,0.6629526462395543,0.6329787234042553,153.91572486250863,246.78261496798092,-26.51140975546791,1.6384655583570567,72
XGBoost,0.5487012987012987,0.5995085995085995,0.6796657381615598,0.6370757180156658,195.66267479180675,246.78261496798092,-20.143795913997536,1.925773760981085,124
Logistic_Regression,0.5292207792207793,0.5915119363395226,0.6211699164345403,0.6059782608695652,109.25615215190021,246.78261496798092,-20.991990119096283,1.4666002813635655,119
