Date,Rank 1 Feature,Rank 1 Importance,Rank 2 Feature,Rank 2 Importance,Rank 3 Feature,Rank 3 Importance,Rank 4 Feature,Rank 4 Importance,Rank 5 Feature,Rank 5 Importance,Rank 6 Feature,Rank 6 Importance,Rank 7 Feature,Rank 7 Importance,Rank 8 Feature,Rank 8 Importance,Rank 9 Feature,Rank 9 Importance,Rank 10 Feature,Rank 10 Importance
2024-12-23,Net_Purchase_Pension_Fund,0.109333,Dollar_Index__logdiff1,0.104932,US_Interest_Rate_3Y__diff1,0.104449,Volatility_20__logdiff1,0.102388,Net_Purchase_Foreigner,0.101614,Nikkei225__logdiff1,0.100672,Net_Purchase_Investment_Trust,0.096845,KR_Spread_10Y_3Y__diff1,0.096226,US_Interest_Rate_10Y__diff1,0.094398,KR_Interest_Rate_3Y__diff1,0.089143
2025-02-05,Net_Purchase_Pension_Fund,0.108703,US_Interest_Rate_3Y__diff1,0.105037,Volatility_20__logdiff1,0.104439,Dollar_Index__logdiff1,0.10039,Net_Purchase_Foreigner,0.099985,Nikkei225__logdiff1,0.099466,Net_Purchase_Investment_Trust,0.099128,US_Interest_Rate_10Y__diff1,0.098283,KR_Spread_10Y_3Y__diff1,0.093418,KR_Interest_Rate_3Y__diff1,0.09115
2025-03-13,Dollar_Index__logdiff1,0.112871,Volatility_20__logdiff1,0.110957,Net_Purchase_Pension_Fund,0.105514,Net_Purchase_Investment_Trust,0.102146,Nikkei225__logdiff1,0.099556,Net_Purchase_Foreigner,0.098976,US_Interest_Rate_3Y__diff1,0.095143,KR_Interest_Rate_3Y__diff1,0.093155,KR_Spread_10Y_3Y__diff1,0.092853,US_Interest_Rate_10Y__diff1,0.088828
2025-04-17,Dollar_Index__logdiff1,0.17022,Net_Purchase_Investment_Trust,0.120671,Net_Purchase_Foreigner,0.097988,KR_Spread_10Y_3Y__diff1,0.0976,Volatility_20__logdiff1,0.093946,KR_Interest_Rate_3Y__diff1,0.089912,US_Interest_Rate_10Y__diff1,0.088345,Net_Purchase_Pension_Fund,0.085919,Nikkei225__logdiff1,0.078808,US_Interest_Rate_3Y__diff1,0.07659
2025-05-27,Dollar_Index__logdiff1,0.159318,Volatility_20__logdiff1,0.111004,Net_Purchase_Foreigner,0.110177,Net_Purchase_Investment_Trust,0.10394,US_Interest_Rate_10Y__diff1,0.093677,KR_Spread_10Y_3Y__diff1,0.092065,Nikkei225__logdiff1,0.088897,KR_Interest_Rate_3Y__diff1,0.08565,Net_Purchase_Pension_Fund,0.081631,US_Interest_Rate_3Y__diff1,0.073638
2025-07-03,Dollar_Index__logdiff1,0.123359,Net_Purchase_Investment_Trust,0.110708,Nikkei225__logdiff1,0.10173,Volatility_20__logdiff1,0.100984,US_Interest_Rate_3Y__diff1,0.098598,KR_Spread_10Y_3Y__diff1,0.09784,Net_Purchase_Pension_Fund,0.096185,Net_Purchase_Foreigner,0.094703,US_Interest_Rate_10Y__diff1,0.08818,KR_Interest_Rate_3Y__diff1,0.087713
2025-08-07,Net_Purchase_Investment_Trust,0.128778,Dollar_Index__logdiff1,0.122226,US_Interest_Rate_3Y__diff1,0.101013,Net_Purchase_Foreigner,0.099476,KR_Interest_Rate_3Y__diff1,0.098429,US_Interest_Rate_10Y__diff1,0.094919,KR_Spread_10Y_3Y__diff1,0.092547,Net_Purchase_Pension_Fund,0.088251,Volatility_20__logdiff1,0.08763,Nikkei225__logdiff1,0.08673
2025-09-12,US_Interest_Rate_3Y__diff1,0.119108,Dollar_Index__logdiff1,0.11716,Net_Purchase_Investment_Trust,0.106331,Nikkei225__logdiff1,0.101544,US_Interest_Rate_10Y__diff1,0.099546,KR_Spread_10Y_3Y__diff1,0.097503,Net_Purchase_Pension_Fund,0.096237,Net_Purchase_Foreigner,0.091355,KR_Interest_Rate_3Y__diff1,0.088489,Volatility_20__logdiff1,0.082726
2025-10-24,Dollar_Index__logdiff1,0.115927,Volatility_20__logdiff1,0.104383,Nikkei225__logdiff1,0.103395,Net_Purchase_Investment_Trust,0.102479,Net_Purchase_Pension_Fund,0.101136,US_Interest_Rate_10Y__diff1,0.100646,US_Interest_Rate_3Y__diff1,0.098091,KR_Spread_10Y_3Y__diff1,0.095483,KR_Interest_Rate_3Y__diff1,0.091741,Net_Purchase_Foreigner,0.08672
2025-11-28,Dollar_Index__logdiff1,0.130974,Net_Purchase_Investment_Trust,0.107788,KR_Interest_Rate_3Y__diff1,0.105884,Net_Purchase_Foreigner,0.096462,Volatility_20__logdiff1,0.09624,Nikkei225__logdiff1,0.095124,US_Interest_Rate_10Y__diff1,0.093736,KR_Spread_10Y_3Y__diff1,0.09338,US_Interest_Rate_3Y__diff1,0.090268,Net_Purchase_Pension_Fund,0.090145
2026-01-07,Dollar_Index__logdiff1,0.138364,Net_Purchase_Investment_Trust,0.126794,Nikkei225__logdiff1,0.106814,KR_Interest_Rate_3Y__diff1,0.105971,Volatility_20__logdiff1,0.100663,KR_Spread_10Y_3Y__diff1,0.09123,US_Interest_Rate_10Y__diff1,0.091101,Net_Purchase_Pension_Fund,0.088047,US_Interest_Rate_3Y__diff1,0.077544,Net_Purchase_Foreigner,0.073471
2026-02-11,Dollar_Index__logdiff1,0.221354,Nikkei225__logdiff1,0.161043,Net_Purchase_Pension_Fund,0.124423,Net_Purchase_Investment_Trust,0.098178,KR_Spread_10Y_3Y__diff1,0.093073,US_Interest_Rate_3Y__diff1,0.067686,Volatility_20__logdiff1,0.064091,KR_Interest_Rate_3Y__diff1,0.059883,Net_Purchase_Foreigner,0.059846,US_Interest_Rate_10Y__diff1,0.050424
2026-03-24,Dollar_Index__logdiff1,0.221044,Nikkei225__logdiff1,0.127566,US_Interest_Rate_10Y__diff1,0.109016,Net_Purchase_Investment_Trust,0.105406,Volatility_20__logdiff1,0.083885,Net_Purchase_Foreigner,0.082366,Net_Purchase_Pension_Fund,0.079624,US_Interest_Rate_3Y__diff1,0.067757,KR_Spread_10Y_3Y__diff1,0.065237,KR_Interest_Rate_3Y__diff1,0.058099
2026-04-28,Dollar_Index__logdiff1,0.259074,Nikkei225__logdiff1,0.126378,Net_Purchase_Pension_Fund,0.088889,US_Interest_Rate_3Y__diff1,0.086699,Net_Purchase_Investment_Trust,0.085323,KR_Interest_Rate_3Y__diff1,0.082409,Volatility_20__logdiff1,0.080238,US_Interest_Rate_10Y__diff1,0.072695,KR_Spread_10Y_3Y__diff1,0.059662,Net_Purchase_Foreigner,0.058633
