Date,Rank 1 Feature,Rank 1 Importance,Rank 2 Feature,Rank 2 Importance,Rank 3 Feature,Rank 3 Importance,Rank 4 Feature,Rank 4 Importance,Rank 5 Feature,Rank 5 Importance,Rank 6 Feature,Rank 6 Importance,Rank 7 Feature,Rank 7 Importance,Rank 8 Feature,Rank 8 Importance,Rank 9 Feature,Rank 9 Importance,Rank 10 Feature,Rank 10 Importance,Rank 11 Feature,Rank 11 Importance,Rank 12 Feature,Rank 12 Importance,Rank 13 Feature,Rank 13 Importance,Rank 14 Feature,Rank 14 Importance,Rank 15 Feature,Rank 15 Importance,Rank 16 Feature,Rank 16 Importance,Rank 17 Feature,Rank 17 Importance,Rank 18 Feature,Rank 18 Importance,Rank 19 Feature,Rank 19 Importance
2025-05-27,Dollar_Index__logdiff1,0.085931,Net_Purchase_Investment_Trust,0.059748,Net_Purchase_Foreigner,0.059326,Volatility_20__logdiff1,0.059239,MACD__diff1,0.057864,Volume_ROC,0.056395,Nikkei225__logdiff1,0.054846,US_Interest_Rate_10Y__diff1,0.053715,KR_Interest_Rate_3Y__diff1,0.052721,KR_Spread_10Y_3Y__diff1,0.051266,USD_KRW__logdiff1,0.05008,S&P500__logdiff1,0.048584,ATR_14__logdiff1,0.048466,Transaction_Value__logdiff1,0.047446,Net_Purchase_Pension_Fund,0.045258,VIX,0.044761,US_Interest_Rate_3Y__diff1,0.042676,TaiwanWeighted__logdiff1,0.042284,Volume,0.039397
2025-07-03,Net_Purchase_Investment_Trust,0.061464,Nikkei225__logdiff1,0.060341,Dollar_Index__logdiff1,0.058339,VIX,0.056274,US_Interest_Rate_10Y__diff1,0.054621,US_Interest_Rate_3Y__diff1,0.05459,MACD__diff1,0.054533,USD_KRW__logdiff1,0.053429,Volume_ROC,0.053231,ATR_14__logdiff1,0.052425,KR_Spread_10Y_3Y__diff1,0.052328,S&P500__logdiff1,0.051614,Volatility_20__logdiff1,0.051103,Net_Purchase_Foreigner,0.050016,Volume,0.049922,Net_Purchase_Pension_Fund,0.047567,Transaction_Value__logdiff1,0.047186,TaiwanWeighted__logdiff1,0.046721,KR_Interest_Rate_3Y__diff1,0.044296
2025-08-07,Dollar_Index__logdiff1,0.090798,US_Interest_Rate_3Y__diff1,0.078061,Transaction_Value__logdiff1,0.067069,Net_Purchase_Investment_Trust,0.066315,US_Interest_Rate_10Y__diff1,0.057864,Net_Purchase_Foreigner,0.057405,VIX,0.053227,Volume_ROC,0.051614,KR_Spread_10Y_3Y__diff1,0.047515,Nikkei225__logdiff1,0.046638,USD_KRW__logdiff1,0.046372,S&P500__logdiff1,0.046117,Net_Purchase_Pension_Fund,0.045198,ATR_14__logdiff1,0.043628,Volatility_20__logdiff1,0.043461,KR_Interest_Rate_3Y__diff1,0.043169,MACD__diff1,0.04087,Volume,0.038552,TaiwanWeighted__logdiff1,0.036126
2025-09-12,Dollar_Index__logdiff1,0.072766,US_Interest_Rate_3Y__diff1,0.059312,Net_Purchase_Investment_Trust,0.058144,Volume_ROC,0.056311,Transaction_Value__logdiff1,0.05619,Net_Purchase_Pension_Fund,0.056129,VIX,0.054711,US_Interest_Rate_10Y__diff1,0.05321,USD_KRW__logdiff1,0.053174,S&P500__logdiff1,0.051871,KR_Spread_10Y_3Y__diff1,0.051552,MACD__diff1,0.049933,KR_Interest_Rate_3Y__diff1,0.049457,Volume,0.048783,ATR_14__logdiff1,0.046858,TaiwanWeighted__logdiff1,0.046432,Net_Purchase_Foreigner,0.045753,Nikkei225__logdiff1,0.045581,Volatility_20__logdiff1,0.043834
2025-10-24,Dollar_Index__logdiff1,0.085082,Volume_ROC,0.063952,Net_Purchase_Investment_Trust,0.061912,Transaction_Value__logdiff1,0.058119,US_Interest_Rate_10Y__diff1,0.055394,Net_Purchase_Pension_Fund,0.054139,MACD__diff1,0.053051,VIX,0.052525,USD_KRW__logdiff1,0.052075,KR_Spread_10Y_3Y__diff1,0.051084,US_Interest_Rate_3Y__diff1,0.050988,TaiwanWeighted__logdiff1,0.049749,Nikkei225__logdiff1,0.047139,S&P500__logdiff1,0.045823,Volatility_20__logdiff1,0.045241,ATR_14__logdiff1,0.044992,Volume,0.043507,KR_Interest_Rate_3Y__diff1,0.04332,Net_Purchase_Foreigner,0.041906
2025-11-28,Dollar_Index__logdiff1,0.066882,Volume_ROC,0.060426,USD_KRW__logdiff1,0.059787,Net_Purchase_Investment_Trust,0.059693,VIX,0.059019,S&P500__logdiff1,0.057637,KR_Interest_Rate_3Y__diff1,0.056445,US_Interest_Rate_10Y__diff1,0.055658,MACD__diff1,0.054232,Transaction_Value__logdiff1,0.052672,Volatility_20__logdiff1,0.051555,ATR_14__logdiff1,0.051156,Net_Purchase_Foreigner,0.048715,KR_Spread_10Y_3Y__diff1,0.048263,Nikkei225__logdiff1,0.047198,Net_Purchase_Pension_Fund,0.046648,TaiwanWeighted__logdiff1,0.044368,Volume,0.041883,US_Interest_Rate_3Y__diff1,0.037764
2026-01-07,Dollar_Index__logdiff1,0.128582,Volume_ROC,0.067031,Net_Purchase_Investment_Trust,0.065716,VIX,0.059654,Net_Purchase_Pension_Fund,0.055613,Nikkei225__logdiff1,0.055139,Volume,0.052854,Net_Purchase_Foreigner,0.050979,KR_Spread_10Y_3Y__diff1,0.049682,Volatility_20__logdiff1,0.048578,KR_Interest_Rate_3Y__diff1,0.046898,US_Interest_Rate_10Y__diff1,0.046336,Transaction_Value__logdiff1,0.045767,S&P500__logdiff1,0.042429,USD_KRW__logdiff1,0.040069,MACD__diff1,0.038505,US_Interest_Rate_3Y__diff1,0.038088,TaiwanWeighted__logdiff1,0.035238,ATR_14__logdiff1,0.032841
2026-02-11,Dollar_Index__logdiff1,0.070251,Volume_ROC,0.064071,Nikkei225__logdiff1,0.059646,Net_Purchase_Pension_Fund,0.059006,USD_KRW__logdiff1,0.058665,US_Interest_Rate_10Y__diff1,0.056541,S&P500__logdiff1,0.056421,Transaction_Value__logdiff1,0.055604,MACD__diff1,0.055207,KR_Spread_10Y_3Y__diff1,0.053546,Net_Purchase_Investment_Trust,0.052232,TaiwanWeighted__logdiff1,0.051822,VIX,0.049437,ATR_14__logdiff1,0.048079,Net_Purchase_Foreigner,0.04334,Volume,0.042575,KR_Interest_Rate_3Y__diff1,0.042505,Volatility_20__logdiff1,0.041219,US_Interest_Rate_3Y__diff1,0.039833
2026-03-24,Dollar_Index__logdiff1,0.120626,US_Interest_Rate_10Y__diff1,0.080159,TaiwanWeighted__logdiff1,0.074361,Nikkei225__logdiff1,0.063009,Net_Purchase_Pension_Fund,0.058385,Volume_ROC,0.056417,ATR_14__logdiff1,0.052902,US_Interest_Rate_3Y__diff1,0.051845,Net_Purchase_Investment_Trust,0.051156,S&P500__logdiff1,0.048938,MACD__diff1,0.046475,VIX,0.04306,Volatility_20__logdiff1,0.041665,KR_Spread_10Y_3Y__diff1,0.037755,KR_Interest_Rate_3Y__diff1,0.037199,Volume,0.035391,Transaction_Value__logdiff1,0.035363,USD_KRW__logdiff1,0.032792,Net_Purchase_Foreigner,0.032502
2026-04-28,Dollar_Index__logdiff1,0.156777,US_Interest_Rate_3Y__diff1,0.088067,Nikkei225__logdiff1,0.065205,TaiwanWeighted__logdiff1,0.062707,Volume_ROC,0.060326,US_Interest_Rate_10Y__diff1,0.05769,ATR_14__logdiff1,0.057284,VIX,0.054487,MACD__diff1,0.051412,KR_Interest_Rate_3Y__diff1,0.046969,Volume,0.043263,S&P500__logdiff1,0.043114,Volatility_20__logdiff1,0.039661,USD_KRW__logdiff1,0.032675,Transaction_Value__logdiff1,0.031635,Net_Purchase_Investment_Trust,0.030355,Net_Purchase_Pension_Fund,0.030343,Net_Purchase_Foreigner,0.024168,KR_Spread_10Y_3Y__diff1,0.023862
