Date,Target,Log_Return,RSI_14,ATR_14__logdiff1,Volatility_20__logdiff1,MACD__diff1
2023-05-04,0,-0.009148871,36.82574769,0.003820657,0.037916467,-2.32841092
2023-05-08,1,-0.000183898,32.78127401,-0.039838834,-0.012853044,-1.990463705
2023-05-09,0,0.004894167,33.69876222,0.010262155,-0.095078653,-0.687509874
2023-05-10,0,-0.001254124,31.44964835,0.008924179,-0.073153638,-0.888921468
2023-05-11,0,-0.00541292,29.97524765,-0.009173457,-0.026393549,-1.866233732
2023-05-12,0,-0.002209524,27.60727819,0.027539917,-0.154437247,-1.969295965
2023-05-15,1,-0.006274189,27.0864247,-0.012107173,0.015353863,-2.830910905
2023-05-16,1,0.001586421,31.57958049,-0.02045449,-0.020138177,-1.917330723
2023-05-17,1,0.000358857,36.18419103,-0.005661505,-0.02262633,-1.422242564
2023-05-18,1,0.005797086,52.06589841,-0.10510856,0.037511682,0.061173488
2023-05-19,1,0.008279386,59.98688769,0.011000094,0.069838187,1.726861905
2023-05-22,1,0.008861841,62.76297897,-0.03206924,0.059417855,3.14384472
2023-05-23,1,0.007572374,65.6013143,0.009601465,0.028002584,3.970887916
2023-05-24,0,0.004086143,63.02829046,-0.008363439,-0.024764705,3.870008747
2023-05-25,0,-3.90E-05,73.13482867,-0.030211823,-0.051621779,2.90367337
2023-05-26,1,-0.004982307,67.3330856,0.024236744,-0.145914506,1.10357518
2023-05-30,1,0.001611467,65.52075439,-0.036330367,-0.008728893,1.02722832
2023-05-31,0,0.010384326,72.13415525,0.02684656,0.061041642,2.75774492
2023-06-01,0,-0.003254114,74.38145297,-0.004451379,0.019085973,1.28134866
2023-06-02,1,-0.003089683,73.2994618,-0.028165577,-0.03683707,0.14589975
2023-06-05,1,0.012451567,84.15593909,0.044423947,0.008570755,2.45672201
2023-06-07,1,0.005386413,84.98037261,-0.019594908,0.00472367,2.79210254
2023-06-08,0,7.27E-05,84.92613941,-0.02429821,-0.002973232,1.9174356
2023-06-09,1,-0.001817678,81.55445375,-0.010289996,0.003337124,0.81621524
2023-06-12,0,0.011542305,82.4658553,0.043082331,0.018765172,2.74092847
2023-06-13,1,-0.004481477,75.00273341,0.013132637,0.021920559,0.85768863
2023-06-14,0,0.003265377,73.4527911,-0.046524813,-0.070292392,1.00056324
2023-06-15,0,-0.007178941,64.24978767,0.027456005,0.082589587,-1.09021759
2023-06-16,1,-0.004032448,60.74252035,0.045941967,0.028760424,-2.05138145
2023-06-19,0,0.006591125,68.16189585,-0.019692812,0.004114115,-0.56418326
2023-06-20,0,-0.006223186,62.19037621,0.035878162,0.023429563,-2.06812873
2023-06-21,0,-0.00176054,55.21823402,-0.044137928,-0.029185836,-2.28953574
2023-06-22,1,-0.008589878,51.37971848,0.015951843,0.031548106,-3.8480746
2023-06-23,0,0.004277195,56.04814195,0.021535464,0.000942359,-2.3648927
2023-06-26,1,-0.009140562,41.95157152,0.001621109,0.056078399,-3.94159704
2023-06-27,0,0.004696883,41.36279706,0.018230284,-0.005080787,-2.28414834
2023-06-28,0,-0.000313758,41.13125053,-0.007711988,-0.000375991,-1.989397773
2023-06-29,0,-0.006685356,38.63717437,0.032108808,-0.039464698,-3.043252469
2023-06-30,1,-0.005541406,25.91178752,-0.018263796,0.011625081,-3.592529421
2023-07-03,1,0.005576539,33.02191957,0.006806805,0.01695549,-1.71401933
2023-07-04,0,0.014783234,41.98082806,0.06890155,0.037904263,1.686221234
2023-07-05,0,-0.003525908,43.90807808,-0.03606339,-0.011700311,0.553814886
2023-07-06,0,-0.005533348,43.13915168,-0.024285298,0.014051689,-0.750547241
2023-07-07,0,-0.008844723,34.2574794,0.032024254,0.034475651,-2.434007816
2023-07-10,0,-0.011638958,32.31207216,0.044288312,-0.040809393,-4.273263964
2023-07-11,1,-0.002381424,32.11720838,0.02353178,-0.003089369,-3.785345078
2023-07-12,1,0.016442817,46.05037752,0.042667437,0.152480878,0.453174698
2023-07-13,1,0.004761341,46.29470405,-0.004186059,-0.000575353,1.410720563
2023-07-14,1,0.00639188,54.24244088,-0.013518426,0.015617154,2.486284812
2023-07-17,0,0.014204609,58.41242658,0.035125409,0.062657241,4.940748259
2023-07-18,0,-0.003544702,56.65689205,0.007654831,-0.00992307,3.108415419
2023-07-19,1,-0.004354593,57.8487346,-0.01209493,0.006126318,1.471490792
2023-07-20,0,0.000237688,61.0633929,-0.009218508,-0.029916386,1.129476344
2023-07-21,1,-0.003075765,56.99769707,-0.018593069,-0.0016835,0.16022108
2023-07-24,1,0.003658372,51.59722193,-0.003028809,-0.033205987,0.798212568
2023-07-25,1,0.007166499,57.40475161,0.062928778,0.010499858,2.026060247
2023-07-26,0,0.003012328,62.41357922,0.00432386,0.001032534,2.10022381
2023-07-27,1,-0.016868394,57.13326979,0.069976384,0.095602968,-2.01612919
2023-07-28,1,0.00440708,66.425265,-0.022793403,-0.009292943,-0.786892792
2023-07-31,1,0.001730583,68.78649813,0.002886405,-0.007255657,-0.368461962
2023-08-01,1,0.009258021,66.24940711,-0.024887267,-0.045920546,1.539066034
2023-08-02,0,0.013016134,69.40701445,0.035209325,0.045683717,3.83209562
2023-08-03,0,-0.019154447,54.63936679,0.061533195,0.11420147,-1.2028551
2023-08-04,0,-0.004243735,45.34402791,-0.006286171,-0.019356805,-1.98131517
2023-08-07,0,-0.000994527,46.61541459,-0.00612965,-0.048928529,-1.891357036
2023-08-08,0,-0.008523268,44.61860989,0.000934221,0.02601119,-3.354898118
2023-08-09,1,-0.002611208,43.3122464,0.019858791,-0.077817197,-3.238006945
2023-08-10,0,0.012025453,50.87552125,0.027184902,0.039639264,-0.088547168
2023-08-11,0,-0.001367497,48.49982625,-0.051154529,-0.010918085,-0.388119365
2023-08-14,0,-0.00396704,42.96340888,-0.03087781,-0.070265724,-1.156066954
2023-08-16,0,-0.007899839,38.17306168,0.013220746,0.016232018,-2.549448559
2023-08-17,0,-0.017749955,38.01808122,-0.018426733,0.089552624,-5.59364071
2023-08-18,0,-0.002295039,34.60920172,0.027481039,-0.001001477,-4.768701245
2023-08-21,1,-0.006110301,31.69606078,0.015294333,0.005282308,-4.8306822
2023-08-22,1,0.001715457,26.52483491,-0.024592396,-0.005584562,-3.25665923
2023-08-23,0,0.00276242,17.95081001,-0.024712008,-0.019843876,-1.77574769
