Target,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
0,730349269,21657900000000.0,0.032070845,-637593000000.0,-145603000000.0,-55054217730.0,-45634063496.0
0,618092869,19193400000000.0,-0.153702351,-1621470000000.0,272528000000.0,-87877442390.0,-169007000000.0
0,643282554,20403900000000.0,0.040753884,-1884180000000.0,149273000000.0,21854301756.0,-116649000000.0
0,696468122,20202000000000.0,0.082678393,-2698980000000.0,-207942000000.0,-26239495506.0,71915228815.0
0,690842314,22241600000000.0,-0.008077625,-416474000000.0,-79915879813.0,43211717370.0,-33300382117.0
1,622791632,16752600000000.0,-0.098503929,-262290000000.0,275581000000.0,24129415005.0,92055167772.0
0,655629079,17170800000000.0,0.052726217,-271022000000.0,-153880000000.0,-82919628540.0,-21397868332.0
0,672088491,16450600000000.0,0.025104762,-257002000000.0,-7044428713.0,-7836724990.0,33691528469.0
1,570979933,13424000000000.0,-0.150439353,-27896085295.0,457016000000.0,54566012793.0,31170092028.0
1,586535144,14946100000000.0,0.027243008,154570000000.0,63307766487.0,12750741873.0,72488091757.0
1,624688408,13365600000000.0,0.065048556,161947000000.0,-10514475843.0,333847000000.0,22790964265.0
0,727719083,13335300000000.0,0.164931306,-364184000000.0,-100601000000.0,36180616272.0,-6940843176.0
1,520668771,11039900000000.0,-0.284519558,-371765000000.0,629117000000.0,22670847835.0,22453595519.0
1,602858388,11758700000000.0,0.15785394,-233861000000.0,152623000000.0,60716191530.0,-9562151800.0
1,661221167,15863600000000.0,0.096810097,1122970000000.0,-161244000000.0,13380085130.0,-3393268683.0
1,746705227,13537900000000.0,0.129282098,77536662099.0,-37506100891.0,33139018341.0,5492364899.0
0,757859615,15378400000000.0,0.014938141,548159000000.0,-355194000000.0,-25417988015.0,-1048340000000.0
1,641510055,13111000000000.0,-0.153523895,588157000000.0,-28768295060.0,20238800760.0,-80952479587.0
1,726190124,12313500000000.0,0.132001156,62039912412.0,29843332688.0,-12326798015.0,-261075373.0
0,760159709,11943300000000.0,0.046777812,-311137000000.0,-145059000000.0,4953283945.0,26043735404.0
0,859889326,17302700000000.0,0.13119561,-223230000000.0,-9102197852.0,-71674530917.0,-104172000000.0
0,927368577,17787100000000.0,0.078474344,-319569000000.0,-955117000000.0,158599000000.0,-168843000000.0
1,723085303,13566500000000.0,-0.220282722,-517844000000.0,301389000000.0,50311008258.0,-130915000000.0
1,732269520,13505400000000.0,0.01270143,142400000000.0,178254000000.0,42618707307.0,-30544190017.0
1,713227276,15787300000000.0,-0.02600442,298439000000.0,584085000000.0,78284220493.0,-6916378985.0
1,616557070,12162700000000.0,-0.135539132,298111000000.0,-123721000000.0,-18717144264.0,31425591976.0
0,612873472,12259500000000.0,-0.005974464,20681036843.0,-379050000000.0,-72822902700.0,-16414893080.0
1,589244026,14937700000000.0,-0.038555178,53895512419.0,-404390000000.0,141022000000.0,-14266881529.0
0,623841308,14009100000000.0,0.058714693,576942000000.0,-582943636.0,-97357955322.0,19956033895.0
0,753222478,12558200000000.0,0.207394362,82639153047.0,-206723000000.0,-30186532511.0,-26700145631.0
1,883229339,12267000000000.0,0.172600878,342728000000.0,97079727898.0,-16762460345.0,-8407702634.0
0,894913170,14658700000000.0,0.013228536,4030086557.0,-511260000000.0,14213860306.0,-28267688072.0
0,821557926,15137000000000.0,-0.081969119,-662496000000.0,-300557000000.0,63653517726.0,-38252372222.0
1,885818713,14942900000000.0,0.078218206,37247595174.0,-222765000000.0,28136886966.0,-60578288848.0
0,855481955,12944000000000.0,-0.034247141,-303462000000.0,-360991000000.0,-35937079966.0,-27710225559.0
0,840557005,15315500000000.0,-0.017446248,-620628000000.0,306744000000.0,16756778410.0,-36023313105.0
0,901721943,15668600000000.0,0.07276715,-276929000000.0,88922961599.0,42401466027.0,-38165381241.0
1,595381702,11906700000000.0,-0.339728054,-104998000000.0,582338000000.0,61558116275.0,-19874548407.0
0,668946781,12634100000000.0,0.123559523,-48546564724.0,-356362000000.0,38771882239.0,-87271234347.0
0,660180934,12767600000000.0,-0.013103953,-824220000000.0,-199897000000.0,-1468021793.0,48741145718.0
1,752132429,12294500000000.0,0.139282264,-271076000000.0,588371000000.0,82521400617.0,78568834834.0
1,617170079,12064600000000.0,-0.17943961,-384533000000.0,462366000000.0,89975694541.0,3857709457.0
1,857797842,12541000000000.0,0.3898889,86866571209.0,125465000000.0,33015446198.0,33745489001.0
0,926369474,10649900000000.0,0.079939152,35920884303.0,-327654000000.0,-24634701113.0,-34005832987.0
1,845703531,10112000000000.0,-0.087077506,148731000000.0,383117000000.0,-16019561980.0,-126029000000.0
0,680326898,11178200000000.0,-0.195549181,-69538320207.0,14730515317.0,-54094209890.0,-101425000000.0
0,887369794,10572400000000.0,0.304328546,53787925576.0,181133000000.0,-6690641841.0,-29574434689.0
0,695272936,9047260000000.0,-0.216478924,-108833000000.0,246453000000.0,-18636676340.0,-46496006349.0
1,791795966,10489300000000.0,0.138827538,38373541830.0,338729000000.0,-32447907640.0,-34207963034.0
1,564559805,9512680000000.0,-0.286988278,107287000000.0,287428000000.0,-906225057.0,32517267949.0
0,607875370,10220700000000.0,0.076724493,-288524000000.0,-184117000000.0,-34139622746.0,-64910464172.0
0,617256798,12367600000000.0,0.015433144,-248123000000.0,-112430000000.0,24630433875.0,-14277164595.0
0,545833755,11035700000000.0,-0.115710419,-805789000000.0,-347874000000.0,-14504823365.0,-78611439267.0
1,475382111,9410800000000.0,-0.129071614,-356245000000.0,764309000000.0,-33152492975.0,-65239650602.0
1,525853038,9662970000000.0,0.106169176,322429000000.0,856589000000.0,-6684518287.0,-31894286581.0
0,658648364,12438300000000.0,0.252533154,-446964000000.0,-552546000000.0,-8104683222.0,148479000000.0
1,772023904,14658500000000.0,0.172133639,354163000000.0,463859000000.0,-42173723227.0,-122924000000.0
0,688027918,12669700000000.0,-0.108799722,116546000000.0,-165635000000.0,-29358873393.0,-202498000000.0
