Target,US_GDP,US_M2,US_UNRATE,KR_Interest_Rate_3Y,KR_Spread_10Y_3Y
1,24813.6,21335.9,4.1,1.912,0.38600016
0,24813.6,21335.9,4.1,1.963,0.3699999
0,24813.6,21335.9,4.1,1.974,0.385
0,24813.6,21335.9,4.1,1.953,0.3850001
1,24813.6,21335.9,4.1,1.966,0.40600002
1,24813.6,21335.9,4.1,2.018,0.36800003
0,24813.6,21335.9,4.1,2.031,0.3690002
0,24813.6,21335.9,4.1,2.013,0.38100004
0,24813.6,21335.9,4.1,1.933,0.41500008
0,24813.6,21335.9,4.1,1.863,0.39200008
0,24813.6,21335.9,4.1,1.844,0.42200005
0,24813.6,21335.9,4.1,1.799,0.41400003
1,24813.6,21498.8,3.9,1.813,0.36899996
1,24813.6,21498.8,3.9,1.845,0.35299993
1,24813.6,21498.8,3.9,1.9,0.334
1,24813.6,21498.8,3.9,1.865,0.34800005
1,24813.6,21498.8,3.9,1.872,0.36800003
1,24813.6,21498.8,3.9,1.831,0.35399997
1,24813.6,21498.8,3.9,1.794,0.39399993
0,24813.6,21498.8,3.9,1.805,0.39600003
0,24813.6,21498.8,3.9,1.79,0.37899995
0,24813.6,21498.8,3.9,1.784,0.38499987
1,24813.6,21498.8,3.9,1.808,0.35799992
1,24813.6,21498.8,3.9,1.766,0.38100004
1,24813.6,21498.8,3.9,1.767,0.38600016
0,24813.6,21498.8,3.9,1.74,0.3670001
1,24813.6,21498.8,3.9,1.72,0.37899995
1,24813.6,21498.8,3.9,1.757,0.3900001
1,24813.6,21498.8,3.9,1.805,0.40699995
1,24813.6,21498.8,3.9,1.798,0.4080001
0,24813.6,21498.8,3.9,1.776,0.43499994
1,24813.6,21498.8,3.9,1.786,0.41199994
0,24813.6,21498.8,3.9,1.783,0.39700007
0,24813.6,21498.8,3.9,1.799,0.44899988
1,25250.347,21650.0,4.0,1.868,0.4519999
0,25250.347,21650.0,4.0,1.913,0.462
0,25250.347,21650.0,4.0,2.013,0.46799994
1,25250.347,21650.0,4.0,2.015,0.44299984
0,25250.347,21650.0,4.0,2.058,0.42599988
1,25250.347,21650.0,4.0,2.038,0.4469998
1,25250.347,21650.0,4.0,1.998,0.42999995
0,25250.347,21650.0,4.0,1.953,0.44400012
0,25250.347,21650.0,4.0,2.044,0.40900016
0,25250.347,21650.0,4.0,2.148,0.42000008
0,25250.347,21650.0,4.0,2.127,0.42599988
0,25250.347,21650.0,4.0,2.073,0.464
1,25250.347,21650.0,4.0,2.119,0.43900013
0,25250.347,21650.0,4.0,2.132,0.408
0,25250.347,21650.0,4.0,2.112,0.42799997
0,25250.347,21650.0,4.0,2.174,0.40199995
0,25250.347,21650.0,4.0,2.156,0.41700006
0,25250.347,21650.0,4.0,2.217,0.39499998
1,25250.347,21650.0,4.0,2.189,0.39700007
1,25250.347,21724.8,3.9,2.158,0.408
1,25250.347,21724.8,3.9,2.194,0.42499995
0,25250.347,21724.8,3.9,2.237,0.40100002
1,25250.347,21724.8,3.9,2.303,0.43000007
1,25250.347,21724.8,3.9,2.279,0.41199994
1,25250.347,21724.8,3.9,2.264,0.42200017
0,25250.347,21724.8,3.9,2.343,0.40400004
0,25250.347,21724.8,3.9,2.347,0.3670001
0,25250.347,21724.8,3.9,2.345,0.365
1,25250.347,21724.8,3.9,2.325,0.37699986
1,25250.347,21724.8,3.9,2.295,0.41299987
1,25250.347,21724.8,3.9,2.322,0.4059999
0,25250.347,21724.8,3.9,2.363,0.40700006
0,25250.347,21724.8,3.9,2.327,0.3900001
1,25250.347,21724.8,3.9,2.317,0.40499997
0,25250.347,21724.8,3.9,2.226,0.398
1,25250.347,21724.8,3.9,2.244,0.42700005
1,25250.347,21724.8,3.9,2.242,0.43299985
1,25250.347,21786.8,3.7,2.187,0.42599988
1,25250.347,21786.8,3.7,2.195,0.45300007
0,25250.347,21786.8,3.7,2.214,0.444
0,25250.347,21786.8,3.7,2.288,0.4189999
0,25250.347,21786.8,3.7,2.287,0.43499994
1,25250.347,21786.8,3.7,2.267,0.4590001
0,25250.347,21786.8,3.7,2.255,0.44499993
0,25250.347,21786.8,3.7,2.283,0.4560001
0,25250.347,21786.8,3.7,2.285,0.46799994
1,25250.347,21786.8,3.7,2.268,0.5
1,25250.347,21786.8,3.7,2.217,0.487
1,25250.347,21786.8,3.7,2.231,0.50600004
0,25250.347,21786.8,3.7,2.268,0.47300005
1,25250.347,21786.8,3.7,2.399,0.4330001
1,25250.347,21786.8,3.7,2.426,0.40199995
0,25250.347,21786.8,3.7,2.455,0.40100002
1,25250.347,21786.8,3.7,2.505,0.36599994
0,25250.347,21786.8,3.7,2.747,0.28399992
1,25250.347,21786.8,3.7,2.7,0.27199984
1,25250.347,21786.8,3.7,2.615,0.26999998
1,25250.347,21786.8,3.7,2.663,0.306
0,25861.292,21769.5,3.7,2.784,0.22300005
1,25861.292,21769.5,3.7,2.837,0.22800016
1,25861.292,21769.5,3.7,2.879,0.20099998
0,25861.292,21769.5,3.7,2.941,0.18799996
0,25861.292,21769.5,3.7,2.905,0.22300005
1,25861.292,21769.5,3.7,2.987,0.18199992
0,25861.292,21769.5,3.7,3.186,0.11899996
0,25861.292,21769.5,3.7,3.105,0.20799994
1,25861.292,21769.5,3.7,3.001,0.286
1,25861.292,21769.5,3.7,2.888,0.33200002
0,25861.292,21769.5,3.7,2.944,0.3570001
0,25861.292,21769.5,3.7,2.99,0.365
1,25861.292,21769.5,3.7,2.981,0.36899996
0,25861.292,21769.5,3.7,2.957,0.35599995
1,25861.292,21769.5,3.7,2.927,0.36899996
0,25861.292,21769.5,3.7,2.971,0.34299994
0,25861.292,21769.5,3.7,2.857,0.33099985
1,25861.292,21769.5,3.7,2.83,0.36000013
0,25861.292,21769.5,3.7,2.899,0.286
1,25861.292,21769.5,3.7,2.925,0.24099994
1,25861.292,21769.5,3.7,2.958,0.28400016
0,25861.292,21719.5,3.6,3.086,0.29400015
0,25861.292,21719.5,3.6,3.139,0.26699996
0,25861.292,21719.5,3.6,3.178,0.25600004
0,25861.292,21719.5,3.6,3.146,0.2850001
0,25861.292,21719.5,3.6,3.046,0.3570001
0,25861.292,21719.5,3.6,2.928,0.34100008
0,25861.292,21719.5,3.6,2.9,0.26899981
1,25861.292,21719.5,3.6,2.911,0.30999994
0,25861.292,21719.5,3.6,3.046,0.23099995
1,25861.292,21719.5,3.6,3.031,0.25600004
1,25861.292,21719.5,3.6,3.069,0.25099993
0,25861.292,21719.5,3.6,3.046,0.26099992
1,25861.292,21719.5,3.6,3.011,0.23399997
1,25861.292,21719.5,3.6,3.018,0.24000001
0,25861.292,21719.5,3.6,2.967,0.24699998
1,25861.292,21719.5,3.6,2.946,0.23099995
0,25861.292,21719.5,3.6,2.955,0.283
1,25861.292,21719.5,3.6,2.947,0.26499987
1,25861.292,21719.5,3.6,2.942,0.26900005
1,25861.292,21719.5,3.6,3.027,0.29900002
0,25861.292,21651.2,3.6,3.125,0.296
1,25861.292,21651.2,3.6,3.121,0.28399992
0,25861.292,21651.2,3.6,3.232,0.306
0,25861.292,21651.2,3.6,3.209,0.26299977
0,25861.292,21651.2,3.6,3.171,0.29999995
0,25861.292,21651.2,3.6,3.275,0.21999979
0,25861.292,21651.2,3.6,3.514,0.1400001
0,25861.292,21651.2,3.6,3.548,0.14299989
0,25861.292,21651.2,3.6,3.666,0.12900019
1,25861.292,21651.2,3.6,3.728,0.039000034
0,25861.292,21651.2,3.6,3.745,0.05000019
0,25861.292,21651.2,3.6,3.675,0.10899997
1,25861.292,21651.2,3.6,3.663,0.11199999
0,25861.292,21651.2,3.6,3.522,0.15999985
0,25861.292,21651.2,3.6,3.608,0.11800003
1,25861.292,21651.2,3.6,3.523,0.11199999
1,25861.292,21651.2,3.6,3.568,0.15199995
1,25861.292,21651.2,3.6,3.552,0.12800002
0,25861.292,21651.2,3.6,3.552,0.11500001
0,25861.292,21651.2,3.6,3.55,0.085999966
0,26336.304,21652.8,3.5,3.439,0.05100012
0,26336.304,21652.8,3.5,3.43,0.059000015
1,26336.304,21652.8,3.5,3.301,0.07799983
0,26336.304,21652.8,3.5,3.239,0.055999994
1,26336.304,21652.8,3.5,3.262,0.044999838
1,26336.304,21652.8,3.5,3.315,0.044999838
0,26336.304,21652.8,3.5,3.324,0.06100011
0,26336.304,21652.8,3.5,3.291,0.058000088
1,26336.304,21652.8,3.5,3.211,0.09000015
0,26336.304,21652.8,3.5,3.26,0.035000086
1,26336.304,21652.8,3.5,3.205,0.03700018
1,26336.304,21652.8,3.5,3.212,0.058000088
0,26336.304,21652.8,3.5,3.192,0.06100011
1,26336.304,21652.8,3.5,3.296,0.06399989
1,26336.304,21652.8,3.5,3.294,0.08000016
0,26336.304,21652.8,3.5,3.218,0.08400011
1,26336.304,21652.8,3.5,3.153,0.05799985
1,26336.304,21652.8,3.5,3.121,0.062000036
1,26336.304,21652.8,3.5,3.09,0.031000137
1,26336.304,21652.8,3.5,3.13,0.07099986
1,26336.304,21652.8,3.5,3.009,0.11800003
1,26336.304,21638.2,3.6,3.081,0.102999926
0,26336.304,21638.2,3.6,3.012,0.075999975
1,26336.304,21638.2,3.6,3.065,0.065999985
1,26336.304,21638.2,3.6,3.114,0.03799987
1,26336.304,21638.2,3.6,3.079,0.045000076
1,26336.304,21638.2,3.6,3.134,0.042999983
1,26336.304,21638.2,3.6,3.134,0.031999826
0,26336.304,21638.2,3.6,3.154,0.052999973
1,26336.304,21638.2,3.6,3.124,0.09500003
1,26336.304,21638.2,3.6,3.181,0.10100007
1,26336.304,21638.2,3.6,3.078,0.07799983
0,26336.304,21638.2,3.6,3.087,0.10100007
0,26336.304,21638.2,3.6,3.125,0.095999956
0,26336.304,21638.2,3.6,3.197,0.112999916
0,26336.304,21638.2,3.6,3.245,0.09700012
0,26336.304,21638.2,3.6,3.281,0.08000016
1,26336.304,21638.2,3.6,3.311,0.12199998
1,26336.304,21638.2,3.6,3.531,0.062000036
1,26336.304,21638.2,3.6,3.525,0.09099984
0,26336.304,21638.2,3.6,3.653,0.061999798
1,26336.304,21638.2,3.6,3.642,0.052999973
1,26336.304,21638.2,3.6,3.685,0.036000013
0,26336.304,21536.5,3.5,3.778,0.02699995
0,26336.304,21536.5,3.5,3.678,0.059999943
0,26336.304,21536.5,3.5,3.616,0.05400014
1,26336.304,21536.5,3.5,3.682,0.029999971
0,26336.304,21536.5,3.5,3.685,0.05100012
1,26336.304,21536.5,3.5,3.543,0.078999996
1,26336.304,21536.5,3.5,3.536,0.08399987
0,26336.304,21536.5,3.5,3.585,0.065999985
0,26336.304,21536.5,3.5,3.77,0.020999908
0,26336.304,21536.5,3.5,3.767,0.005000114
0,26336.304,21536.5,3.5,3.759,0.034999847
1,26336.304,21536.5,3.5,3.823,0.013000011
0,26336.304,21536.5,3.5,3.847,0.04400015
