Variable,VIF,Status
US_CPI,57.6739751043734,High
KR_GDP,33.579063104047826,High
KR_CPI,16.37849489290017,High
US_Interest_Rate_10Y,5.807265786043567,Watch
US_Interest_Rate_3Y,2.8117010778473084,Good
US_GDP,1.8450599502288036,Good
US_Spread_10Y_3Y,1.3471989011906507,Good
KR_Spread_10Y_3Y,1.2916947639133773,Good
KR_Interest_Rate_3Y,1.279785692148424,Good
KR_Interest_Rate_10Y,1.2446973263551375,Good
US_M2,1.0,Good
US_UNRATE,1.0,Good
